"Rank","Player","Team","Positions","Yahoo","ESPN","AVG"
"1","Nikola Jokic","DEN","C","2","1","1.5"
"2","Victor Wembanyama","SAS","C OUT","1","3","2.0"
"3","Luka Doncic","LAL","PG,SG","3","2","2.5"
"4","Shai Gilgeous-Alexander","OKC","PG","4","4","4.0"
"5","Giannis Antetokounmpo","MIL","PF,C","5","5","5.0"
"6","Tyrese Haliburton","IND","PG,SG","7","7","7.0"
"7","Anthony Davis","DAL","PF,C DTD","6","10","8.0"
"8","Jayson Tatum","BOS","SF,PF","8","9","8.5"
"9","Anthony Edwards","MIN","SG,SF","9","8","8.5"
"10","Domantas Sabonis","SAC","C,PF","13","6","9.5"
"11","Joel Embiid","PHI","C OUT","10","11","10.5"
"12","Trae Young","ATL","PG DTD","11","16","13.5"
"13","Donovan Mitchell","CLE","PG,SG","15","15","15.0"
"14","Jalen Brunson","NYK","PG","19","14","16.5"
"15","Stephen Curry","GSW","PG,SG OUT","12","22","17.0"
"16","Kevin Durant","PHO","SF,PF OUT","17","17","17.0"
"17","LeBron James","LAL","SF,PF","23","12","17.5"
"18","Scottie Barnes","TOR","SG,SF,PF DTD","18","19","18.5"
"19","Devin Booker","PHO","PG,SG","20","18","19.0"
"20","James Harden","LAC","PG,SG","14","27","20.5"
"21","Karl-Anthony Towns","NYK","PF,C","21","20","20.5"
"22","Chet Holmgren","OKC","PF,C","16","29","22.5"
"23","De'Aaron Fox","SAS","PG OUT","25","21","23.0"
"24","Ja Morant","MEM","PG DTD","34","13","23.5"
"25","LaMelo Ball","CHA","PG,SG OUT","22","25","23.5"
"26","Tyrese Maxey","PHI","PG,SG OUT","27","23","25.0"
"27","Damian Lillard","MIL","PG OUT","24","30","27.0"
"28","Alperen Sengun","HOU","C","28","28","28.0"
"29","Paolo Banchero","ORL","SF,PF","33","24","28.5"
"30","Kyrie Irving","DAL","PG,SG OUT","26","32","29.0"
"31","Cade Cunningham","DET","PG,SG","32","31","31.5"
"32","Lauri Markkanen","UTH","SF,PF OUT","29","36","32.5"
"33","Bam Adebayo","MIA","C,PF","30","35","32.5"
"34","Dejounte Murray","NOR","PG,SG OUT","35","38","36.5"
"35","Pascal Siakam","IND","PF,SF","48","26","37.0"
"36","Jaylen Brown","BOS","SG,SF","40","34","37.0"
"37","Paul George","PHI","SG,SF,PF OUT","31","44","37.5"
"38","Jalen Williams","OKC","C,PF,SF,SG","36","43","39.5"
"39","Zion Williamson","NOR","PF,C OUT","47","33","40.0"
"40","Desmond Bane","MEM","SG,SF","42","40","41.0"
"41","Evan Mobley","CLE","PF,C DTD","39","50","44.5"
"42","Jimmy Butler III","GSW","PF,SF,SG","44","46","45.0"
"43","Rudy Gobert","MIN","C","46","45","45.5"
"44","DeMar DeRozan","SAC","PF,SF","55","37","46.0"
"45","Jalen Johnson","ATL","PF OUT","41","51","46.0"
"46","Jaren Jackson Jr.","MEM","PF,C","37","56","46.5"
"47","Jamal Murray","DEN","PG,SG","51","42","46.5"
"48","Nikola Vucevic","CHI","PF,C","57","39","48.0"
"49","Myles Turner","IND","C","43","53","48.0"
"50","Fred VanVleet","HOU","PG","38","59","48.5"
"51","Franz Wagner","ORL","PF,SF","45","54","49.5"
"52","Mikal Bridges","NYK","SG,SF,PF","56","49","52.5"
"53","Miles Bridges","CHA","SF,PF","58","48","53.0"
"54","Julius Randle","MIN","PF","63","47","55.0"
"55","Derrick White","BOS","PG,SG","49","64","56.5"
"56","Immanuel Quickley","TOR","PG,SG","53","60","56.5"
"57","Jarrett Allen","CLE","C","52","63","57.5"
"58","Kawhi Leonard","LAC","SG,SF,PF DTD","50","66","58.0"
"59","Zach LaVine","SAC","SG,SF","61","58","59.5"
"60","D'Angelo Russell","BKN","PG,SG","71","55","63.0"
"61","Darius Garland","CLE","PG DTD","60","67","63.5"
"62","Cam Thomas","BKN","SF,SG OUT","68","62","65.0"
"63","Brandon Miller","CHA","SG,SF OUT","62","68","65.0"
"64","Jalen Duren","DET","C","54","78","66.0"
"65","Jalen Green","HOU","PG,SG","92","41","66.5"
"66","Coby White","CHI","PG,SG","84","52","68.0"
"67","Brandon Ingram","TOR","SG,SF,PF OUT","67","69","68.0"
"68","Anfernee Simons","POR","PG,SG DTD","76","61","68.5"
"69","Kyle Kuzma","MIL","SF,PF","81","57","69.0"
"70","Nic Claxton","BKN","C","64","74","69.0"
"71","Jrue Holiday","BOS","PG,SG","75","65","70.0"
"72","Michael Porter Jr.","DEN","SF,PF","70","71","70.5"
"73","Josh Giddey","CHI","PG,SG,SF DTD","66","77","71.5"
"74","Bradley Beal","PHO","PG,SF,SG","69","76","72.5"
"75","Tobias Harris","DET","SF,PF","65","84","74.5"
"76","CJ McCollum","NOR","PG,SG OUT","85","70","77.5"
"77","Tyler Herro","MIA","PG,SG","74","81","77.5"
"78","Jonas Valanciunas","SAC","C","87","72","79.5"
"79","Deandre Ayton","POR","C","59","101","80.0"
"80","Austin Reaves","LAL","PG,SG,SF","86","75","80.5"
"81","Devin Vassell","SAS","SG,SF","80","82","81.0"
"82","Keegan Murray","SAC","SF,PF","78","88","83.0"
"83","Brook Lopez","MIL","C","73","98","85.5"
"84","Jusuf Nurkic","CHA","C","82","89","85.5"
"85","Kristaps Porzingis","BOS","PF,C","103","73","88.0"
"86","Collin Sexton","UTH","PG,SG","94","85","89.5"
"87","Bogdan Bogdanovic","LAC","SG,SF","89","91","90.0"
"88","Jabari Smith Jr.","HOU","PF,C","77","106","91.5"
"89","Daniel Gafford","DAL","PF,C","106","79","92.5"
"90","Jonathan Kuminga","GSW","PF,SF","91","95","93.0"
"91","Zach Edey","MEM","C","100","87","93.5"
"92","OG Anunoby","NYK","SF,PF","79","109","94.0"
"93","Klay Thompson","DAL","SG,SF","109","80","94.5"
"94","Isaiah Hartenstein","OKC","C","72","118","95.0"
"95","Jordan Poole","WAS","PG,SG","83","108","95.5"
"96","Naz Reid","MIN","PF,C","96","96","96.0"
"97","Terry Rozier","MIA","PG,SG OUT","107","90","98.5"
"98","Jakob Poeltl","TOR","C DTD","93","105","99.0"
"99","Mark Williams","CHA","C G-League","98","102","100.0"
"100","RJ Barrett","TOR","SG,SF,PF","110","92","101.0"
"101","Walker Kessler","UTH","C OUT","90","114","102.0"
"102","Amen Thompson","HOU","PF,SF,SG","120","86","103.0"
"103","Donte DiVincenzo","MIN","PG,SF,SG","112","94","103.0"
"104","Buddy Hield","GSW","SG,SF","126","83","104.5"
