Rank,Player,Team,Positions,Yahoo,ESPN,AVG
1.0,Nikola Jokic,DEN,C,2.0,1.0,1.5
2.0,Victor Wembanyama,SAS,C OUT,1.0,3.0,2.0
3.0,Luka Doncic,LAL,"PG,SG",3.0,2.0,2.5
4.0,Shai Gilgeous-Alexander,OKC,PG,4.0,4.0,4.0
5.0,Giannis Antetokounmpo,MIL,"PF,C",5.0,5.0,5.0
6.0,Tyrese Haliburton,IND,"PG,SG",7.0,7.0,7.0
7.0,Anthony Davis,DAL,"PF,C DTD",6.0,10.0,8.0
8.0,Jayson Tatum,BOS,"SF,PF",8.0,9.0,8.5
9.0,Anthony Edwards,MIN,"SG,SF",9.0,8.0,8.5
10.0,Domantas Sabonis,SAC,"C,PF",13.0,6.0,9.5
11.0,Joel Embiid,PHI,C OUT,10.0,11.0,10.5
12.0,Trae Young,ATL,PG DTD,11.0,16.0,13.5
13.0,Donovan Mitchell,CLE,"PG,SG",15.0,15.0,15.0
14.0,Jalen Brunson,NYK,PG,19.0,14.0,16.5
15.0,Stephen Curry,GSW,"PG,SG OUT",12.0,22.0,17.0
16.0,Kevin Durant,PHO,"SF,PF OUT",17.0,17.0,17.0
17.0,LeBron James,LAL,"SF,PF",23.0,12.0,17.5
18.0,Scottie Barnes,TOR,"SG,SF,PF DTD",18.0,19.0,18.5
19.0,Devin Booker,PHO,"PG,SG",20.0,18.0,19.0
20.0,James Harden,LAC,"PG,SG",14.0,27.0,20.5
21.0,Karl-Anthony Towns,NYK,"PF,C",21.0,20.0,20.5
22.0,Chet Holmgren,OKC,"PF,C",16.0,29.0,22.5
23.0,De'Aaron Fox,SAS,PG OUT,25.0,21.0,23.0
24.0,Ja Morant,MEM,PG DTD,34.0,13.0,23.5
25.0,LaMelo Ball,CHA,"PG,SG OUT",22.0,25.0,23.5
26.0,Tyrese Maxey,PHI,"PG,SG OUT",27.0,23.0,25.0
27.0,Damian Lillard,MIL,PG OUT,24.0,30.0,27.0
28.0,Alperen Sengun,HOU,C,28.0,28.0,28.0
29.0,Paolo Banchero,ORL,"SF,PF",33.0,24.0,28.5
30.0,Kyrie Irving,DAL,"PG,SG OUT",26.0,32.0,29.0
31.0,Cade Cunningham,DET,"PG,SG",32.0,31.0,31.5
32.0,Lauri Markkanen,UTH,"SF,PF OUT",29.0,36.0,32.5
33.0,Bam Adebayo,MIA,"C,PF",30.0,35.0,32.5
34.0,Dejounte Murray,NOR,"PG,SG OUT",35.0,38.0,36.5
35.0,Pascal Siakam,IND,"PF,SF",48.0,26.0,37.0
36.0,Jaylen Brown,BOS,"SG,SF",40.0,34.0,37.0
37.0,Paul George,PHI,"SG,SF,PF OUT",31.0,44.0,37.5
38.0,Jalen Williams,OKC,"C,PF,SF,SG",36.0,43.0,39.5
39.0,Zion Williamson,NOR,"PF,C OUT",47.0,33.0,40.0
40.0,Desmond Bane,MEM,"SG,SF",42.0,40.0,41.0
41.0,Evan Mobley,CLE,"PF,C DTD",39.0,50.0,44.5
