Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,793,1,2024-10-23,MIL,@,PHI,W 124-109,*,31:12,8,11,.727,0,0,,8,11,.727,.727,9,16,.563,1,13,14,7,0,1,3,4,25,23.3,7
2,794,2,2024-10-25,MIL,,CHI,L 122-133,*,35:08,15,23,.652,0,1,.000,15,22,.682,.652,8,16,.500,1,10,11,5,0,0,3,1,38,28.5,-12
3,795,3,2024-10-27,MIL,@,BRK,L 102-115,*,33:19,7,11,.636,0,0,,7,11,.636,.636,8,11,.727,1,11,12,7,1,1,4,3,22,21.3,-11
4,796,4,2024-10-28,MIL,@,BOS,L 108-119,*,39:05,14,26,.538,0,2,.000,14,24,.583,.538,2,6,.333,1,9,10,6,0,0,7,4,30,14.8,-19
5,797,5,2024-10-31,MIL,@,MEM,L 99-122,*,33:31,17,22,.773,0,0,,17,22,.773,.773,3,8,.375,1,10,11,4,1,1,1,4,37,32.0,0
6,798,6,2024-11-02,MIL,,CLE,L 113-114,*,38:52,15,27,.556,0,0,,15,27,.556,.556,4,7,.571,6,10,16,9,1,0,0,5,34,32.4,5
7,799,8,2024-11-07,MIL,,UTA,W 123-100,*,30:12,11,21,.524,0,0,,11,21,.524,.524,9,12,.750,6,10,16,2,1,1,4,5,31,23.8,27
8,800,9,2024-11-08,MIL,@,NYK,L 94-116,*,32:12,11,21,.524,0,1,.000,11,20,.550,.524,2,6,.333,3,9,12,2,0,2,1,2,24,17.9,-17
9,801,10,2024-11-10,MIL,,BOS,L 107-113,*,39:09,18,29,.621,1,2,.500,17,27,.630,.638,6,10,.600,1,12,13,5,0,2,1,4,43,34.9,-6
10,802,11,2024-11-12,MIL,,TOR,W 99-85,*,33:20,9,12,.750,0,1,.000,9,11,.818,.750,5,9,.556,1,3,4,7,0,4,4,2,23,21.1,1
11,803,12,2024-11-13,MIL,,DET,W 127-120 (OT),*,43:38,21,34,.618,1,2,.500,20,32,.625,.632,16,17,.941,3,11,14,7,2,3,3,1,59,54.2,7
12,804,13,2024-11-16,MIL,@,CHO,L 114-115,*,33:29,11,22,.500,0,1,.000,11,21,.524,.500,0,1,.000,2,13,15,12,0,2,2,2,22,22.9,-2
13,805,14,2024-11-18,MIL,,HOU,W 101-100,*,35:35,9,17,.529,0,0,,9,17,.529,.529,2,7,.286,2,11,13,4,0,3,8,3,20,10.1,-2
14,806,15,2024-11-20,MIL,,CHI,W 122-106,*,35:22,17,24,.708,0,1,.000,17,23,.739,.708,7,14,.500,1,8,9,8,1,0,1,1,41,36.5,7
15,807,16,2024-11-22,MIL,,IND,W 129-117,*,34:45,14,21,.667,0,0,,14,21,.667,.667,9,11,.818,2,8,10,11,2,1,6,4,37,33.7,16
16,808,17,2024-11-23,MIL,,CHO,W 125-119,*,31:29,12,23,.522,1,3,.333,11,20,.550,.543,7,10,.700,2,9,11,6,0,2,4,1,32,24.8,-2
17,809,19,2024-11-30,MIL,,WAS,W 124-114,*,37:43,15,24,.625,0,0,,15,24,.625,.625,12,17,.706,2,10,12,11,0,1,4,0,42,38.0,9
18,810,20,2024-12-03,MIL,@,DET,W 128-107,*,27:41,10,11,.909,0,0,,10,11,.909,.909,8,12,.667,1,6,7,8,0,1,6,2,28,24.7,18
19,811,21,2024-12-04,MIL,,ATL,L 104-119,*,36:09,8,14,.571,0,0,,8,14,.571,.571,15,26,.577,4,7,11,5,1,0,4,2,31,24.6,-11
20,812,22,2024-12-06,MIL,@,BOS,L 105-111,*,36:25,13,25,.520,0,1,.000,13,24,.542,.520,4,6,.667,1,10,11,1,0,0,1,0,30,20.3,-4
21,813,23,2024-12-08,MIL,@,BRK,W 118-113,*,38:01,14,22,.636,0,0,,14,22,.636,.636,6,10,.600,2,9,11,4,1,3,3,2,34,28.8,10
22,814,24,2024-12-10,MIL,,ORL,W 114-109,*,35:36,15,24,.625,0,2,.000,15,22,.682,.625,7,12,.583,1,6,7,1,2,4,6,1,37,25.8,5
23,815,25,2024-12-14,MIL,,ATL,W 110-102,*,37:54,10,15,.667,0,0,,10,15,.667,.667,12,18,.667,1,13,14,9,1,4,1,1,32,36.4,3
24,816,26,2024-12-20,MIL,@,CLE,L 101-124,*,30:25,13,22,.591,1,1,1.000,12,21,.571,.614,6,10,.600,2,12,14,3,3,0,5,2,33,25.5,-19
25,817,31,2024-12-31,MIL,@,IND,W 120-112,*,34:49,11,20,.550,0,0,,11,20,.550,.550,8,13,.615,2,10,12,5,2,0,2,4,30,24.7,12
26,818,32,2025-01-02,MIL,,BRK,L 110-113,*,37:06,12,24,.500,0,0,,12,24,.500,.500,3,10,.300,3,10,13,7,1,3,3,4,27,20.7,12
27,819,33,2025-01-04,MIL,,POR,L 102-105,*,38:20,14,27,.519,0,1,.000,14,26,.538,.519,3,4,.750,2,9,11,2,2,2,4,2,31,21.4,-3
28,820,34,2025-01-06,MIL,@,TOR,W 128-104,*,28:47,5,8,.625,0,1,.000,5,7,.714,.625,1,2,.500,1,11,12,13,0,0,7,1,11,12.7,27
29,821,35,2025-01-08,MIL,,SAS,W 121-105,*,35:42,11,21,.524,0,1,.000,11,20,.550,.524,3,7,.429,3,13,16,8,0,1,4,1,25,21.0,13
30,822,36,2025-01-10,MIL,@,ORL,W 109-106,*,36:32,19,29,.655,0,1,.000,19,28,.679,.655,3,10,.300,3,11,14,4,3,2,3,4,41,33.5,-3
31,823,37,2025-01-12,MIL,@,NYK,L 106-140,*,30:56,10,21,.476,0,1,.000,10,20,.500,.476,4,10,.400,7,6,13,2,0,1,4,3,24,14.5,-20
32,824,38,2025-01-14,MIL,,SAC,W 130-115,*,36:39,14,23,.609,0,2,.000,14,21,.667,.609,5,7,.714,1,10,11,13,0,2,3,3,33,31.7,30
33,825,39,2025-01-15,MIL,,ORL,W 122-93,*,29:51,11,15,.733,0,0,,11,15,.733,.733,4,8,.500,0,11,11,4,1,0,6,0,26,19.4,25
34,826,40,2025-01-17,MIL,,TOR,W 130-112,*,35:24,12,20,.600,0,1,.000,12,19,.632,.600,11,18,.611,4,9,13,3,1,1,6,3,35,25.1,14
35,827,41,2025-01-19,MIL,,PHI,W 123-109,*,36:14,13,17,.765,0,0,,13,17,.765,.765,8,14,.571,3,12,15,6,0,0,0,2,34,34.0,25
36,828,42,2025-01-23,MIL,,MIA,W 125-96,*,31:56,10,18,.556,0,0,,10,18,.556,.556,5,10,.500,2,10,12,4,0,3,1,2,25,21.9,19
37,829,43,2025-01-25,MIL,@,LAC,L 117-127,*,35:00,12,22,.545,0,1,.000,12,21,.571,.545,12,15,.800,2,11,13,1,0,1,4,3,36,25.1,-10
38,830,44,2025-01-27,MIL,@,UTA,W 125-110,*,36:37,16,23,.696,0,1,.000,16,22,.727,.696,3,10,.300,1,17,18,7,2,0,2,2,35,32.4,19
39,831,45,2025-01-28,MIL,@,POR,L 112-125,*,35:55,17,24,.708,0,0,,17,24,.708,.708,5,10,.500,4,8,12,5,0,0,4,4,39,30.1,-11
40,832,46,2025-01-31,MIL,@,SAS,L 118-144,*,34:00,13,23,.565,0,1,.000,13,22,.591,.565,9,14,.643,4,10,14,6,0,1,2,3,35,29.6,-13
41,833,47,2025-02-02,MIL,,MEM,L 119-132,*,37:11,14,21,.667,2,3,.667,12,18,.667,.714,0,6,.000,4,7,11,7,2,1,4,3,30,25.8,-3
42,834,54,2025-02-20,MIL,,LAC,W 116-110,*,23:45,10,14,.714,0,2,.000,10,12,.833,.714,3,5,.600,0,8,8,4,0,1,3,3,23,18.1,-1
43,835,55,2025-02-21,MIL,@,WAS,W 104-101,*,19:18,6,9,.667,0,0,,6,9,.667,.667,6,11,.545,2,4,6,3,1,1,7,6,18,9.1,1
44,836,56,2025-02-23,MIL,,MIA,W 120-113,*,31:55,11,18,.611,1,2,.500,10,16,.625,.639,0,0,,3,13,16,7,1,1,3,2,23,23.6,16
45,837,57,2025-02-25,MIL,@,HOU,L 97-100,*,31:44,9,17,.529,0,1,.000,9,16,.563,.529,9,12,.750,1,9,10,6,1,1,1,2,27,25.0,1
46,838,58,2025-02-27,MIL,,DEN,W 121-112,*,32:37,11,23,.478,1,2,.500,10,21,.476,.500,5,8,.625,2,17,19,7,0,1,2,3,28,24.0,8
47,839,59,2025-03-01,MIL,@,DAL,W 132-117,*,32:02,9,14,.643,0,1,.000,9,13,.692,.643,11,13,.846,2,7,9,9,1,2,0,2,29,33.4,22
48,840,60,2025-03-04,MIL,@,ATL,W 127-121,*,33:49,9,18,.500,0,2,.000,9,16,.563,.500,8,12,.667,3,9,12,10,1,0,3,2,26,24.4,9
49,841,61,2025-03-05,MIL,,DAL,W 137-107,*,24:50,13,20,.650,0,0,,13,20,.650,.650,6,6,1.000,4,11,15,4,1,0,3,3,32,28.9,30
50,842,62,2025-03-08,MIL,,ORL,L 109-111,*,35:00,15,23,.652,0,0,,15,23,.652,.652,7,11,.636,4,7,11,4,1,0,1,1,37,32.6,2
51,843,63,2025-03-09,MIL,,CLE,L 100-112,*,33:40,13,24,.542,0,0,,13,24,.542,.542,4,8,.500,4,5,9,3,2,0,4,1,30,20.8,-13
52,844,64,2025-03-11,MIL,@,IND,L 114-115,*,34:06,9,14,.643,0,1,.000,9,13,.692,.643,1,3,.333,2,15,17,7,0,1,3,3,19,19.3,10
53,845,65,2025-03-13,MIL,,LAL,W 126-106,*,30:17,8,17,.471,0,1,.000,8,16,.500,.471,8,13,.615,2,10,12,9,1,1,3,1,24,22.3,22
54,846,66,2025-03-15,MIL,,IND,W 126-119,*,34:33,14,19,.737,0,0,,14,19,.737,.737,6,6,1.000,1,9,10,7,1,3,6,6,34,29.3,2
55,847,67,2025-03-16,MIL,,OKC,L 105-121,*,35:57,7,15,.467,0,0,,7,15,.467,.467,7,12,.583,3,9,12,10,1,2,1,1,21,24.1,-13
56,848,68,2025-03-18,MIL,@,GSW,L 93-104,*,38:53,5,16,.313,0,1,.000,5,15,.333,.313,10,15,.667,2,7,9,7,3,2,1,2,20,19.8,-7
57,849,69,2025-03-20,MIL,@,LAL,W 118-89,*,29:03,9,15,.600,0,0,,9,15,.600,.600,10,12,.833,1,6,7,4,2,1,3,1,28,24.9,19
58,850,70,2025-03-22,MIL,@,SAC,W 114-108,*,34:35,12,20,.600,0,0,,12,20,.600,.600,8,13,.615,6,11,17,3,1,1,2,2,32,29.3,-6
59,851,71,2025-03-24,MIL,@,PHO,L 106-108,*,37:06,12,19,.632,1,2,.500,11,17,.647,.658,6,13,.462,1,9,10,5,1,0,2,3,31,24.4,-4
60,852,73,2025-03-28,MIL,,NYK,L 107-116,*,34:52,11,17,.647,0,3,.000,11,14,.786,.647,8,11,.727,1,8,9,7,0,0,2,5,30,25.3,-6
61,853,74,2025-03-30,MIL,,ATL,L 124-145,*,30:26,11,18,.611,0,1,.000,11,17,.647,.611,9,14,.643,1,8,9,5,1,0,5,3,31,22.2,-18
62,854,75,2025-04-01,MIL,,PHO,W 133-123,*,36:16,12,18,.667,2,4,.500,10,14,.714,.722,11,12,.917,0,5,5,11,3,1,2,1,37,39.3,23
63,855,76,2025-04-03,MIL,@,PHI,W 126-113,*,38:44,12,19,.632,1,1,1.000,11,18,.611,.658,10,11,.909,2,15,17,20,2,0,2,0,35,46.0,23
64,856,77,2025-04-05,MIL,@,MIA,W 121-115 (OT),*,43:00,13,21,.619,0,1,.000,13,20,.650,.619,10,14,.714,0,15,15,10,0,1,3,1,36,33.7,17
65,857,79,2025-04-08,MIL,,MIN,W 110-103,*,37:39,9,15,.600,1,2,.500,8,13,.615,.633,4,11,.364,3,10,13,10,1,1,0,0,23,27.1,26
66,858,80,2025-04-10,MIL,,NOP,W 136-111,*,25:34,11,17,.647,1,2,.500,10,15,.667,.676,5,10,.500,2,9,11,5,0,1,0,1,28,26.4,6
67,859,81,2025-04-11,MIL,@,DET,W 125-119,*,37:46,11,22,.500,0,2,.000,11,20,.550,.500,10,11,.909,1,10,11,15,1,2,3,0,32,34.2,22
,,,,,,,40-27,67,2291,793,1319,.601,14,63,.222,779,1256,.620,.607,436,707,.617,147,651,798,433,58,78,206,155,2036,26.4,334
