Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,139,1,2024-10-23,DET,,IND,L 109-115,*,36:32,10,23,.435,2,6,.333,8,17,.471,.478,6,6,1.000,0,5,5,8,1,0,2,2,28,21.2,-10
2,140,2,2024-10-25,DET,@,CLE,L 101-113,*,34:55,14,24,.583,2,6,.333,12,18,.667,.625,3,3,1.000,2,2,4,6,0,0,9,4,33,17.4,-14
3,141,3,2024-10-26,DET,,BOS,L 118-124,*,40:31,9,22,.409,2,8,.250,7,14,.500,.455,1,3,.333,0,6,6,10,1,4,7,2,21,13.2,3
4,142,4,2024-10-28,DET,@,MIA,L 98-106,*,34:52,9,18,.500,4,7,.571,5,11,.455,.611,2,3,.667,1,7,8,6,2,1,5,4,24,17.7,-7
5,143,5,2024-10-30,DET,@,PHI,W 105-95,*,36:36,6,15,.400,4,8,.500,2,7,.286,.533,6,6,1.000,1,4,5,7,1,1,5,2,22,16.6,12
6,144,6,2024-11-01,DET,,NYK,L 98-128,*,32:05,10,19,.526,2,4,.500,8,15,.533,.579,0,0,,0,6,6,6,0,1,1,1,22,18.0,-19
7,145,7,2024-11-03,DET,@,BRK,W 106-92,*,35:26,8,13,.615,1,4,.250,7,9,.778,.654,2,3,.667,1,5,6,5,0,0,7,3,19,10.2,11
8,146,8,2024-11-04,DET,,LAL,W 115-103,*,35:48,7,17,.412,1,5,.200,6,12,.500,.441,2,5,.400,2,9,11,11,0,0,3,1,17,15.1,14
9,147,9,2024-11-06,DET,@,CHO,L 107-108,*,37:42,9,23,.391,0,4,.000,9,19,.474,.391,2,2,1.000,1,9,10,10,0,0,2,5,20,13.9,-1
10,148,10,2024-11-08,DET,,ATL,W 122-121,*,36:16,8,17,.471,1,4,.250,7,13,.538,.500,5,5,1.000,1,10,11,13,1,1,7,2,22,20.0,3
11,149,11,2024-11-10,DET,,HOU,L 99-101,*,36:02,10,21,.476,2,4,.500,8,17,.471,.524,4,6,.667,0,8,8,9,0,1,4,3,26,18.7,-6
12,150,12,2024-11-12,DET,,MIA,W 123-121 (OT),*,37:37,6,15,.400,2,7,.286,4,8,.500,.467,7,7,1.000,0,7,7,9,0,2,7,1,21,15.3,-2
13,151,13,2024-11-13,DET,@,MIL,L 120-127 (OT),*,43:29,13,34,.382,5,10,.500,8,24,.333,.456,4,4,1.000,2,5,7,11,2,3,6,4,35,23.5,-4
14,152,14,2024-11-15,DET,@,TOR,W 99-95,*,36:28,6,21,.286,2,9,.222,4,12,.333,.333,1,2,.500,2,4,6,10,1,0,4,2,15,8.1,-10
15,153,15,2024-11-17,DET,@,WAS,W 124-104,*,30:34,7,15,.467,2,4,.500,5,11,.455,.533,5,5,1.000,2,8,10,10,5,1,2,2,21,27.0,18
