Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,737,1,2024-10-22,LAL,,MIN,W 110-103,*,37:35,11,23,.478,1,3,.333,10,20,.500,.500,13,15,.867,3,13,16,4,1,3,1,1,36,34.0,1
2,738,2,2024-10-25,LAL,,PHO,W 123-116,*,37:30,11,18,.611,0,0,,11,18,.611,.611,13,17,.765,1,7,8,4,1,2,1,2,35,31.4,4
3,739,3,2024-10-26,LAL,,SAC,W 131-127,*,37:45,10,15,.667,1,2,.500,9,13,.692,.700,10,13,.769,3,6,9,2,3,2,2,1,31,30.6,-22
4,740,4,2024-10-28,LAL,@,PHO,L 105-109,*,35:30,12,24,.500,0,2,.000,12,22,.545,.500,5,6,.833,5,10,15,3,1,3,3,1,29,24.9,14
5,741,5,2024-10-30,LAL,@,CLE,L 110-134,*,31:20,9,17,.529,0,1,.000,9,16,.563,.529,4,8,.500,1,12,13,2,2,0,4,1,22,15.4,-18
6,742,6,2024-11-01,LAL,@,TOR,W 131-125,*,35:43,14,20,.700,0,0,,14,20,.700,.700,10,11,.909,1,10,11,2,3,2,3,0,38,35.7,7
7,743,7,2024-11-04,LAL,@,DET,L 103-115,*,39:00,13,23,.565,0,4,.000,13,19,.684,.565,11,14,.786,1,8,9,4,0,0,3,2,37,27.0,-1
8,744,9,2024-11-08,LAL,,PHI,W 116-106,*,35:29,11,20,.550,2,3,.667,9,17,.529,.600,7,8,.875,3,6,9,1,0,4,3,2,31,24.6,20
9,745,10,2024-11-10,LAL,,TOR,W 123-103,*,25:53,6,8,.750,2,2,1.000,4,6,.667,.875,8,10,.800,1,3,4,3,1,2,0,1,22,23.7,-3
10,746,11,2024-11-13,LAL,,MEM,W 128-123,*,32:00,6,16,.375,2,3,.667,4,13,.308,.438,7,8,.875,2,12,14,3,0,3,3,5,21,16.0,-6
11,747,12,2024-11-15,LAL,@,SAS,W 120-115,*,36:10,14,26,.538,2,4,.500,12,22,.545,.577,10,12,.833,5,7,12,2,1,2,2,1,40,33.6,12
12,748,13,2024-11-16,LAL,@,NOP,W 104-99,*,37:14,12,20,.600,2,4,.500,10,16,.625,.650,5,7,.714,3,11,14,1,2,1,2,3,31,26.6,2
13,749,14,2024-11-19,LAL,,UTA,W 124-118,*,33:52,10,15,.667,0,1,.000,10,14,.714,.667,6,10,.600,4,10,14,6,2,0,0,3,26,28.7,4
14,750,15,2024-11-21,LAL,,ORL,L 118-119,*,37:46,14,22,.636,1,1,1.000,13,21,.619,.659,10,13,.769,4,5,9,2,0,3,3,4,39,31.2,0
15,751,16,2024-11-23,LAL,,DEN,L 102-127,*,35:24,6,19,.316,0,2,.000,6,17,.353,.316,2,3,.667,3,7,10,3,3,2,1,2,14,11.6,-26
16,752,17,2024-11-26,LAL,@,PHO,L 100-127,*,34:42,10,19,.526,0,2,.000,10,17,.588,.526,5,7,.714,2,13,15,5,1,4,3,3,25,23.3,-24
17,753,18,2024-11-27,LAL,@,SAS,W 119-101,*,35:07,8,14,.571,0,2,.000,8,12,.667,.571,3,3,1.000,4,10,14,7,1,0,1,2,19,22.3,16
18,754,19,2024-11-29,LAL,,OKC,L 93-101,*,37:44,5,9,.556,0,0,,5,9,.556,.556,5,7,.714,2,10,12,7,1,4,1,2,15,21.2,-5
19,755,20,2024-12-01,LAL,@,UTA,W 105-104,*,38:50,13,25,.520,2,4,.500,11,21,.524,.560,5,6,.833,1,10,11,0,2,1,1,1,33,25.3,6
20,756,21,2024-12-02,LAL,@,MIN,L 80-109,*,32:57,4,14,.286,0,2,.000,4,12,.333,.286,4,4,1.000,2,9,11,5,0,1,2,3,12,8.9,-9
21,757,22,2024-12-04,LAL,@,MIA,L 93-134,*,31:24,3,14,.214,0,1,.000,3,13,.231,.214,2,4,.500,1,6,7,5,1,0,0,3,8,4.4,-29
22,758,23,2024-12-06,LAL,@,ATL,L 132-134 (OT),*,41:31,15,27,.556,0,3,.000,15,24,.625,.556,8,8,1.000,3,7,10,8,1,2,6,3,38,30.1,6
23,759,24,2024-12-08,LAL,,POR,W 107-98,*,32:09,10,21,.476,1,4,.250,9,17,.529,.500,9,9,1.000,2,9,11,1,2,5,1,1,30,28.2,4
24,760,25,2024-12-13,LAL,@,MIN,L 87-97,*,36:13,10,21,.476,1,5,.200,9,16,.563,.500,2,5,.400,2,9,11,1,0,3,4,1,23,13.6,-22
