Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1062,1,2024-10-23,PHO,@,LAC,W 116-113 (OT),*,43:40,8,17,.471,2,5,.400,6,12,.500,.529,7,9,.778,0,7,7,0,3,1,7,4,25,12.7,-2
2,1063,2,2024-10-25,PHO,@,LAL,L 116-123,*,38:34,11,17,.647,2,3,.667,9,14,.643,.706,6,7,.857,0,4,4,6,0,1,3,3,30,24.0,-13
3,1064,3,2024-10-26,PHO,,DAL,W 114-102,*,39:22,10,21,.476,4,8,.500,6,13,.462,.571,7,9,.778,0,9,9,2,1,1,1,0,31,24.3,11
4,1065,4,2024-10-28,PHO,,LAL,W 109-105,*,38:09,11,20,.550,2,6,.333,9,14,.643,.600,6,7,.857,0,8,8,4,0,4,2,2,30,25.2,-6
5,1066,5,2024-10-31,PHO,@,LAC,W 125-119,*,38:41,7,13,.538,2,4,.500,5,9,.556,.615,2,3,.667,0,5,5,4,1,2,4,1,18,13.6,-2
6,1067,6,2024-11-02,PHO,,POR,W 103-97,*,37:52,7,16,.438,3,8,.375,4,8,.500,.531,4,5,.800,1,8,9,2,0,0,3,1,21,13.3,9
7,1068,7,2024-11-04,PHO,,PHI,W 118-116,*,38:33,14,20,.700,2,5,.400,12,15,.800,.750,5,5,1.000,0,4,4,6,0,1,3,2,35,28.9,9
8,1069,8,2024-11-06,PHO,,MIA,W 115-112,*,37:13,13,23,.565,4,11,.364,9,12,.750,.652,2,3,.667,0,8,8,3,1,1,6,1,32,20.5,-1
9,1070,9,2024-11-08,PHO,@,DAL,W 114-113,*,36:58,8,14,.571,3,6,.500,5,8,.625,.679,7,7,1.000,1,4,5,4,1,2,1,2,26,24.7,11
10,1071,17,2024-11-26,PHO,,LAL,W 127-100,*,29:43,9,17,.529,3,6,.500,6,11,.545,.618,2,2,1.000,1,5,6,2,0,0,0,2,23,17.5,21
11,1072,18,2024-11-27,PHO,,BRK,L 117-127,*,33:03,10,18,.556,3,6,.500,7,12,.583,.639,7,10,.700,0,8,8,2,0,3,7,3,30,17.9,-2
12,1073,19,2024-11-30,PHO,,GSW,W 113-105,*,35:40,7,20,.350,3,8,.375,4,12,.333,.425,4,6,.667,0,10,10,3,0,3,3,1,21,12.8,2
13,1074,20,2024-12-03,PHO,,SAS,W 104-93,*,16:29,5,8,.625,2,2,1.000,3,6,.500,.750,1,2,.500,0,4,4,2,0,0,3,0,13,8.6,0
14,1075,24,2024-12-13,PHO,@,UTA,W 134-126,*,33:55,8,17,.471,2,5,.400,6,12,.500,.529,12,12,1.000,0,3,3,8,1,1,1,2,30,27.7,6
15,1076,25,2024-12-15,PHO,,POR,W 116-109,*,35:57,9,23,.391,1,9,.111,8,14,.571,.413,1,2,.500,0,7,7,7,1,0,1,1,20,13.7,-7
16,1077,26,2024-12-19,PHO,,IND,L 111-120,*,37:56,15,27,.556,3,6,.500,12,21,.571,.611,4,6,.667,0,10,10,6,1,0,5,1,37,26.1,-12
17,1078,27,2024-12-21,PHO,,DET,L 125-133,*,38:33,14,26,.538,4,9,.444,10,17,.588,.615,11,11,1.000,1,4,5,6,2,0,8,4,43,28.9,-9
18,1079,28,2024-12-23,PHO,@,DEN,L 90-117,*,31:04,8,15,.533,2,3,.667,6,12,.500,.600,5,6,.833,2,7,9,2,2,1,3,1,23,19.5,-19
19,1080,29,2024-12-25,PHO,,DEN,W 110-100,*,37:48,9,26,.346,0,5,.000,9,21,.429,.346,9,9,1.000,2,2,4,6,2,2,0,3,27,20.8,3
20,1081,30,2024-12-27,PHO,,DAL,L 89-98,*,37:42,11,19,.579,3,4,.750,8,15,.533,.658,10,12,.833,0,3,3,0,0,0,1,1,35,24.8,-3
21,1082,31,2024-12-28,PHO,@,GSW,L 105-109,*,37:08,10,24,.417,1,5,.200,9,19,.474,.438,10,12,.833,2,4,6,3,0,4,8,2,31,16.1,-17
22,1083,32,2024-12-31,PHO,,MEM,L 112-117,*,38:32,11,19,.579,2,5,.400,9,14,.643,.632,5,7,.714,1,9,10,6,1,2,3,2,29,25.5,-4
23,1084,33,2025-01-04,PHO,@,IND,L 108-126,*,37:30,9,14,.643,1,3,.333,8,11,.727,.679,6,6,1.000,0,7,7,7,0,1,5,1,25,21.1,-22
24,1085,34,2025-01-06,PHO,@,PHI,W 109-99,*,34:23,9,14,.643,3,4,.750,6,10,.600,.750,2,3,.667,0,6,6,5,1,1,3,1,23,20.0,3
25,1086,35,2025-01-07,PHO,@,CHO,L 104-115,*,36:20,8,18,.444,1,6,.167,7,12,.583,.472,9,10,.900,1,5,6,2,0,1,2,2,26,17.7,1
26,1087,36,2025-01-09,PHO,,ATL,W 123-115,*,36:21,9,15,.600,2,7,.286,7,8,.875,.667,3,4,.750,0,2,2,7,0,3,3,1,23,19.9,7
27,1088,37,2025-01-11,PHO,,UTA,W 114-106,*,35:34,11,19,.579,1,4,.250,10,15,.667,.605,2,3,.667,0,5,5,7,1,0,5,1,25,17.7,-9
28,1089,38,2025-01-12,PHO,,CHO,W 120-113,*,40:11,11,24,.458,2,9,.222,9,15,.600,.500,3,3,1.000,0,8,8,5,1,0,1,5,27,18.5,8
29,1090,39,2025-01-14,PHO,@,ATL,L 117-122,*,38:57,13,20,.650,0,2,.000,13,18,.722,.650,5,7,.714,1,7,8,6,2,2,3,0,31,28.8,5
30,1091,40,2025-01-16,PHO,@,WAS,W 130-123,*,32:40,8,16,.500,1,5,.200,7,11,.636,.531,6,8,.750,1,5,6,3,1,2,2,2,23,18.1,18
31,1092,41,2025-01-18,PHO,@,DET,W 125-121,*,38:03,13,27,.481,2,8,.250,11,19,.579,.519,8,12,.667,0,7,7,5,2,3,2,2,36,27.6,12
32,1093,42,2025-01-20,PHO,@,CLE,L 92-118,*,31:06,9,16,.563,1,1,1.000,8,15,.533,.594,4,4,1.000,0,7,7,1,0,2,3,2,23,15.8,-16
33,1094,43,2025-01-22,PHO,@,BRK,W 108-84,*,29:48,8,15,.533,4,7,.571,4,8,.500,.667,4,4,1.000,1,7,8,3,0,1,1,0,24,21.3,17
34,1095,44,2025-01-25,PHO,,WAS,W 119-109,*,38:40,11,19,.579,5,8,.625,6,11,.545,.711,2,2,1.000,1,4,5,4,1,0,2,1,29,23.4,16
35,1096,45,2025-01-27,PHO,,LAC,W 111-109,*,40:19,9,19,.474,4,8,.500,5,11,.455,.579,2,2,1.000,0,4,4,5,2,0,5,1,24,15.6,2
36,1097,46,2025-01-29,PHO,,MIN,L 113-121,*,39:51,13,19,.684,4,8,.500,9,11,.818,.789,3,4,.750,0,2,2,7,2,4,0,3,33,33.6,-7
37,1098,47,2025-01-31,PHO,@,GSW,W 130-105,*,29:21,6,13,.462,5,9,.556,1,4,.250,.654,2,4,.500,0,6,6,3,1,1,1,2,19,15.3,16
38,1099,48,2025-02-01,PHO,@,POR,L 108-127,*,32:57,9,18,.500,1,4,.250,8,14,.571,.528,3,3,1.000,0,1,1,3,0,0,3,2,22,11.6,-22
39,1100,49,2025-02-03,PHO,@,POR,L 119-121 (OT),*,45:50,10,21,.476,2,9,.222,8,12,.667,.524,5,6,.833,0,5,5,5,1,2,4,1,27,18.9,-4
40,1101,53,2025-02-11,PHO,,MEM,L 112-119,*,42:48,12,18,.667,3,4,.750,9,14,.643,.750,7,10,.700,0,3,3,3,1,5,1,3,34,30.3,2
41,1102,54,2025-02-12,PHO,@,HOU,L 111-119,*,42:13,15,22,.682,2,5,.400,13,17,.765,.727,5,5,1.000,0,5,5,9,2,0,7,5,37,28.4,5
42,1103,55,2025-02-20,PHO,@,SAS,L 109-120,*,38:38,9,13,.692,3,6,.500,6,7,.857,.808,1,2,.500,0,5,5,2,0,0,1,0,22,18.0,-12
43,1104,56,2025-02-22,PHO,@,CHI,W 121-117,*,38:27,9,15,.600,3,6,.500,6,9,.667,.700,6,6,1.000,0,10,10,5,0,1,2,0,27,25.3,6
44,1105,57,2025-02-23,PHO,@,TOR,L 109-127,*,39:48,5,15,.333,0,5,.000,5,10,.500,.333,5,7,.714,0,4,4,4,3,3,2,2,15,12.0,-14
45,1106,58,2025-02-25,PHO,@,MEM,L 148-151 (OT),*,42:35,8,19,.421,3,7,.429,5,12,.417,.500,7,7,1.000,0,8,8,7,1,0,4,1,26,19.8,-9
46,1107,59,2025-02-27,PHO,,NOP,L 116-124,*,35:51,12,23,.522,4,13,.308,8,10,.800,.609,0,0,,0,5,5,2,1,1,2,2,28,18.5,-2
47,1108,60,2025-02-28,PHO,,NOP,W 125-108,*,35:15,7,10,.700,2,2,1.000,5,8,.625,.800,1,1,1.000,1,1,2,6,3,0,2,3,17,17.8,22
48,1109,61,2025-03-02,PHO,,MIN,L 98-116,*,37:37,10,23,.435,3,9,.333,7,14,.500,.500,3,7,.429,1,9,10,4,0,2,4,2,26,15.1,-16
49,1110,62,2025-03-04,PHO,,LAC,W 119-117,*,41:08,10,22,.455,4,11,.364,6,11,.545,.545,10,10,1.000,0,7,7,4,1,2,2,2,34,27.1,16
50,1111,63,2025-03-07,PHO,@,DEN,L 141-149 (OT),*,45:50,10,16,.625,3,7,.429,7,9,.778,.719,6,7,.857,0,9,9,5,0,0,3,1,29,24.2,-5
51,1112,64,2025-03-09,PHO,@,DAL,W 125-116,*,37:51,8,15,.533,1,3,.333,7,12,.583,.567,4,4,1.000,1,8,9,8,0,1,6,0,21,17.1,11
52,1113,65,2025-03-10,PHO,@,MEM,L 118-120,*,41:25,11,24,.458,7,9,.778,4,15,.267,.604,6,6,1.000,1,4,5,5,0,1,3,3,35,24.5,-1
53,1114,66,2025-03-12,PHO,@,HOU,L 104-111,*,36:39,8,12,.667,2,2,1.000,6,10,.600,.750,1,2,.500,0,7,7,0,1,1,5,1,19,11.8,-13
54,1115,67,2025-03-14,PHO,,SAC,W 122-106,*,36:26,7,15,.467,4,6,.667,3,9,.333,.600,4,4,1.000,2,2,4,6,1,2,4,0,22,18.9,14
55,1116,68,2025-03-16,PHO,@,LAL,L 96-107,*,36:45,6,17,.353,2,7,.286,4,10,.400,.412,7,10,.700,0,9,9,2,0,0,5,3,21,8.2,-12
56,1117,69,2025-03-17,PHO,,TOR,W 129-89,*,26:21,5,7,.714,1,1,1.000,4,6,.667,.786,3,3,1.000,0,3,3,3,1,0,4,1,14,10.7,5
57,1118,70,2025-03-19,PHO,,CHI,W 127-121,*,36:08,8,15,.533,3,7,.429,5,8,.625,.633,7,8,.875,0,4,4,8,0,0,1,1,26,23.7,12
58,1119,71,2025-03-21,PHO,,CLE,W 123-112,*,38:31,17,29,.586,4,9,.444,13,20,.650,.655,4,4,1.000,0,6,6,8,0,1,3,1,42,33.2,7
59,1120,72,2025-03-24,PHO,,MIL,W 108-106,*,37:06,11,21,.524,7,9,.778,4,12,.333,.690,9,10,.900,0,8,8,5,0,3,5,3,38,29.1,4
60,1121,73,2025-03-26,PHO,,BOS,L 102-132,*,29:55,11,16,.688,3,4,.750,8,12,.667,.781,5,5,1.000,0,1,1,2,0,0,1,2,30,23.1,-22
61,1122,74,2025-03-28,PHO,@,MIN,L 109-124,*,34:13,7,19,.368,3,6,.500,4,13,.308,.447,6,6,1.000,0,6,6,2,2,2,4,1,23,14.7,-10
62,1123,75,2025-03-30,PHO,,HOU,L 109-148,*,22:50,5,11,.455,1,3,.333,4,8,.500,.500,0,0,,1,6,7,1,1,0,1,1,11,8.1,-27
,,,,,,,33-29,62,2268,592,1124,.527,160,372,.430,432,752,.574,.598,303,361,.839,23,351,374,263,50,77,190,104,1647,20.2,-39
