Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,303,1,2024-10-22,MIN,@,LAL,L 103-110,*,41:04,10,25,.400,5,13,.385,5,12,.417,.500,2,3,.667,0,6,6,3,0,0,4,3,27,11.8,0
2,304,2,2024-10-24,MIN,@,SAC,W 117-115,*,39:12,10,24,.417,5,15,.333,5,9,.556,.521,7,7,1.000,1,6,7,4,1,0,3,4,32,20.9,8
3,305,3,2024-10-26,MIN,,TOR,W 112-101,*,39:11,9,21,.429,5,12,.417,4,9,.444,.548,1,3,.333,0,6,6,4,1,1,4,3,24,13.2,5
4,306,4,2024-10-29,MIN,,DAL,L 114-120,*,37:20,12,20,.600,7,13,.538,5,7,.714,.775,6,12,.500,0,6,6,3,0,1,5,1,37,24.6,-8
5,307,5,2024-11-01,MIN,,DEN,W 119-116,*,38:18,11,23,.478,7,14,.500,4,9,.444,.630,0,0,,0,4,4,4,1,1,2,1,29,20.6,5
6,308,6,2024-11-02,MIN,@,SAS,L 103-113,*,35:33,8,17,.471,3,7,.429,5,10,.500,.559,2,4,.500,0,5,5,2,2,0,3,0,21,13.4,-20
7,309,7,2024-11-04,MIN,,CHO,W 114-93,*,29:05,6,11,.545,4,6,.667,2,5,.400,.727,5,7,.714,0,5,5,1,1,0,1,1,21,16.7,9
8,310,8,2024-11-07,MIN,@,CHI,W 135-119,*,34:49,13,23,.565,5,9,.556,8,14,.571,.674,2,2,1.000,3,5,8,6,0,1,2,2,33,27.8,15
9,311,9,2024-11-08,MIN,,POR,W 127-102,*,30:07,12,21,.571,9,15,.600,3,6,.500,.786,4,5,.800,0,6,6,5,1,1,6,2,37,26.9,29
10,312,10,2024-11-10,MIN,,MIA,L 94-95,*,37:16,8,24,.333,4,14,.286,4,10,.400,.417,2,3,.667,1,4,5,6,2,0,6,3,22,8.9,2
11,313,11,2024-11-12,MIN,@,POR,L 108-122,*,37:01,8,19,.421,4,10,.400,4,9,.444,.526,6,6,1.000,0,0,0,3,2,1,1,2,26,18.9,-20
12,314,12,2024-11-13,MIN,@,POR,L 98-106,*,40:08,10,25,.400,0,9,.000,10,16,.625,.400,4,4,1.000,0,4,4,4,4,1,3,2,24,15.4,-1
13,315,13,2024-11-15,MIN,@,SAC,W 130-126 (OT),*,41:56,14,27,.519,6,14,.429,8,13,.615,.630,2,2,1.000,1,4,5,2,0,0,2,4,36,22.4,16
14,316,14,2024-11-17,MIN,,PHO,W 120-117,*,38:50,9,14,.643,3,7,.429,6,7,.857,.750,3,3,1.000,0,4,4,6,1,0,2,2,24,21.4,-6
15,317,15,2024-11-21,MIN,@,TOR,L 105-110,*,36:01,9,20,.450,5,9,.556,4,11,.364,.575,3,3,1.000,1,2,3,2,2,2,2,4,26,18.1,4
16,318,16,2024-11-24,MIN,@,BOS,L 105-107,*,39:17,9,21,.429,6,11,.545,3,10,.300,.571,4,4,1.000,0,9,9,7,0,0,3,3,28,20.3,2
17,319,17,2024-11-26,MIN,,HOU,L 111-117 (OT),*,43:15,8,22,.364,3,12,.250,5,10,.500,.432,10,10,1.000,3,7,10,1,1,3,3,1,29,21.4,-14
18,320,18,2024-11-27,MIN,,SAC,L 104-115,*,37:25,9,24,.375,4,9,.444,5,15,.333,.458,7,8,.875,1,4,5,5,3,0,1,0,29,22.8,-5
19,321,19,2024-11-29,MIN,,LAC,W 93-92,*,36:01,7,21,.333,4,9,.444,3,12,.250,.429,3,5,.600,2,2,4,3,2,0,4,0,21,10.4,-5
20,322,20,2024-12-02,MIN,,LAL,W 109-80,*,26:57,3,13,.231,1,5,.200,2,8,.250,.269,1,2,.500,0,7,7,3,2,0,3,1,8,2.5,1
21,323,21,2024-12-04,MIN,@,LAC,W 108-80,*,26:12,5,14,.357,4,9,.444,1,5,.200,.500,2,2,1.000,1,5,6,4,4,0,2,3,16,14.0,27
22,324,22,2024-12-06,MIN,@,GSW,W 107-90,*,34:57,11,18,.611,4,10,.400,7,8,.875,.722,4,4,1.000,0,4,4,9,1,2,4,1,30,27.3,23
23,325,23,2024-12-08,MIN,@,GSW,L 106-114,*,36:34,10,19,.526,5,9,.556,5,10,.500,.658,2,2,1.000,0,5,5,6,1,0,6,3,27,17.2,-3
