Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1073,1,2024-10-23,LAC,,PHO,L 113-116 (OT),*,39:52,10,28,.357,2,9,.222,8,19,.421,.393,7,9,.778,3,9,12,8,1,0,8,3,29,14.8,-4
2,1074,2,2024-10-26,LAC,@,DEN,W 109-104,*,37:45,5,11,.455,1,5,.200,4,6,.667,.500,12,13,.923,0,6,6,16,1,1,7,5,23,22.6,3
3,1075,3,2024-10-27,LAC,@,GSW,W 112-104,*,35:39,6,19,.316,2,12,.167,4,7,.571,.368,9,9,1.000,1,6,7,11,0,0,5,1,23,16.9,4
4,1076,4,2024-10-30,LAC,,POR,L 105-106,*,31:43,6,18,.333,5,11,.455,1,7,.143,.472,2,4,.500,0,5,5,10,3,0,5,2,19,13.7,1
5,1077,5,2024-10-31,LAC,,PHO,L 119-125,*,35:41,8,19,.421,3,10,.300,5,9,.556,.500,6,7,.857,0,10,10,13,2,2,6,2,25,23.2,-2
6,1078,6,2024-11-02,LAC,,OKC,L 92-105,*,32:26,4,13,.308,2,9,.222,2,4,.500,.385,2,2,1.000,0,13,13,7,3,3,2,2,12,15.6,-9
7,1079,7,2024-11-04,LAC,,SAS,W 113-104,*,33:20,6,10,.600,3,5,.600,3,5,.600,.750,2,4,.500,2,6,8,4,1,3,2,3,17,17.5,-12
8,1080,8,2024-11-06,LAC,,PHI,W 110-98,*,33:57,5,15,.333,1,6,.167,4,9,.444,.367,7,9,.778,0,4,4,6,3,1,6,1,18,11.4,13
9,1081,9,2024-11-08,LAC,@,SAC,W 107-98,*,34:32,5,16,.313,3,6,.500,2,10,.200,.406,9,9,1.000,0,4,4,8,2,0,7,2,22,13.8,7
10,1082,10,2024-11-09,LAC,,TOR,W 105-103,*,34:09,5,17,.294,2,8,.250,3,9,.333,.353,12,13,.923,1,11,12,7,1,0,4,2,24,18.8,-2
11,1083,11,2024-11-11,LAC,@,OKC,L 128-134,*,37:13,5,15,.333,3,7,.429,2,8,.250,.433,4,5,.800,3,8,11,9,0,0,5,5,17,11.9,-7
12,1084,12,2024-11-13,LAC,@,HOU,L 103-111,*,31:25,6,15,.400,3,8,.375,3,7,.429,.500,4,5,.800,0,6,6,7,3,0,1,1,19,18.8,-12
13,1085,13,2024-11-15,LAC,@,HOU,L 104-125,*,30:35,7,14,.500,3,9,.333,4,5,.800,.607,4,4,1.000,0,6,6,2,0,1,5,3,21,11.7,-17
14,1086,14,2024-11-17,LAC,,UTA,W 116-105,*,34:21,7,14,.500,2,8,.250,5,6,.833,.571,4,5,.800,1,5,6,11,2,2,0,1,20,25.5,9
15,1087,15,2024-11-18,LAC,,GSW,W 102-99,*,40:41,4,15,.267,2,6,.333,2,9,.222,.333,2,2,1.000,0,6,6,16,2,2,3,2,12,15.7,-4
16,1088,16,2024-11-20,LAC,,ORL,W 104-93,*,33:51,5,14,.357,3,6,.500,2,8,.250,.464,11,12,.917,0,7,7,5,0,0,5,3,24,15.2,18
17,1089,17,2024-11-22,LAC,,SAC,W 104-88,*,36:15,5,18,.278,2,10,.200,3,8,.375,.333,10,10,1.000,0,6,6,9,3,1,4,0,22,19.2,14
18,1090,18,2024-11-24,LAC,@,PHI,W 125-99,*,27:06,4,10,.400,3,7,.429,1,3,.333,.550,12,12,1.000,0,2,2,8,1,0,4,1,23,20.4,30
19,1091,19,2024-11-25,LAC,@,BOS,L 94-126,*,29:51,8,17,.471,3,8,.375,5,9,.556,.559,0,0,,0,8,8,9,0,0,5,1,19,13.6,-14
20,1092,20,2024-11-27,LAC,@,WAS,W 121-96,*,31:52,13,22,.591,7,11,.636,6,11,.545,.750,10,11,.909,1,3,4,7,3,0,4,0,43,37.9,25
