Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,1493,1,2024-10-22,LAL,,MIN,W 110-103,*,34:39,7,16,.438,1,4,.250,6,12,.500,.469,1,1,1.000,0,5,5,4,0,2,2,3,16,10.1,-6
2,1494,2,2024-10-25,LAL,,PHO,W 123-116,*,34:42,7,13,.538,2,5,.400,5,8,.625,.615,5,8,.625,0,4,4,8,0,0,2,1,21,17.9,14
3,1495,3,2024-10-26,LAL,,SAC,W 131-127,*,33:46,12,22,.545,4,9,.444,8,13,.615,.636,4,4,1.000,0,14,14,10,0,1,5,3,32,27.1,13
4,1496,4,2024-10-28,LAL,@,PHO,L 105-109,*,35:48,3,14,.214,2,5,.400,1,9,.111,.286,3,6,.500,0,5,5,8,1,0,2,1,11,6.9,-17
5,1497,5,2024-10-30,LAL,@,CLE,L 110-134,*,28:58,9,13,.692,1,3,.333,8,10,.800,.731,7,7,1.000,1,5,6,3,0,0,6,2,26,18.0,-17
6,1498,6,2024-11-01,LAL,@,TOR,W 131-125,*,36:15,9,17,.529,5,8,.625,4,9,.444,.676,4,6,.667,0,6,6,10,1,0,0,1,27,27.3,11
7,1499,7,2024-11-04,LAL,@,DET,L 103-115,*,40:00,7,16,.438,1,2,.500,6,14,.429,.469,5,5,1.000,1,7,8,11,2,0,1,1,20,22.7,-16
8,1500,8,2024-11-06,LAL,@,MEM,L 114-131,*,35:25,15,24,.625,6,11,.545,9,13,.692,.750,3,4,.750,0,7,7,6,1,0,5,2,39,29.3,-21
9,1501,9,2024-11-08,LAL,,PHI,W 116-106,*,33:48,9,14,.643,2,4,.500,7,10,.700,.714,1,1,1.000,0,12,12,13,0,3,2,0,21,27.6,12
10,1502,10,2024-11-10,LAL,,TOR,W 123-103,*,34:47,6,14,.429,0,3,.000,6,11,.545,.429,7,7,1.000,2,8,10,16,1,0,3,0,19,24.6,13
11,1503,11,2024-11-13,LAL,,MEM,W 128-123,*,36:56,13,22,.591,4,7,.571,9,15,.600,.682,5,8,.625,1,11,12,14,1,0,6,2,35,31.6,3
12,1504,12,2024-11-15,LAL,@,SAS,W 120-115,*,37:49,6,12,.500,1,4,.250,5,8,.625,.542,2,4,.500,1,15,16,12,1,0,7,0,15,15.8,3
13,1505,13,2024-11-16,LAL,@,NOP,W 104-99,*,37:02,8,19,.421,2,7,.286,6,12,.500,.474,3,5,.600,4,3,7,5,1,0,6,1,21,11.9,1
14,1506,14,2024-11-19,LAL,,UTA,W 124-118,*,33:53,9,17,.529,1,5,.200,8,12,.667,.559,7,11,.636,0,2,2,12,0,0,4,1,26,20.7,-5
15,1507,15,2024-11-21,LAL,,ORL,L 118-119,*,37:02,12,22,.545,5,9,.556,7,13,.538,.659,2,4,.500,2,8,10,7,0,1,4,0,31,25.0,-8
16,1508,16,2024-11-23,LAL,,DEN,L 102-127,*,34:41,7,17,.412,1,4,.250,6,13,.462,.441,3,3,1.000,0,6,6,7,3,0,6,3,18,11.4,-25
17,1509,17,2024-11-26,LAL,@,PHO,L 100-127,*,34:44,7,16,.438,2,7,.286,5,9,.556,.500,2,2,1.000,1,7,8,10,0,0,5,0,18,14.4,-30
18,1510,18,2024-11-27,LAL,@,SAS,W 119-101,*,33:05,8,18,.444,0,2,.000,8,16,.500,.444,0,0,,3,7,10,11,1,1,5,0,16,15.2,4
19,1511,19,2024-11-29,LAL,,OKC,L 93-101,*,33:31,5,13,.385,0,4,.000,5,9,.556,.385,2,2,1.000,0,8,8,6,0,0,5,0,12,6.5,-12
20,1512,20,2024-12-01,LAL,@,UTA,W 105-104,*,36:04,12,28,.429,0,9,.000,12,19,.632,.429,3,3,1.000,1,4,5,14,0,2,3,1,27,21.9,0
21,1513,21,2024-12-02,LAL,@,MIN,L 80-109,*,30:44,4,16,.250,0,4,.000,4,12,.333,.250,2,4,.500,3,5,8,4,0,0,6,1,10,-0.4,-28
22,1514,22,2024-12-04,LAL,@,MIA,L 93-134,*,29:03,12,18,.667,1,4,.250,11,14,.786,.694,4,4,1.000,1,4,5,8,1,0,5,2,29,23.9,-21
23,1515,23,2024-12-06,LAL,@,ATL,L 132-134 (OT),*,43:22,14,25,.560,6,11,.545,8,14,.571,.680,5,6,.833,0,10,10,11,2,3,4,3,39,36.3,3
24,1516,26,2024-12-15,LAL,,MEM,W 116-110,*,34:00,7,17,.412,3,6,.500,4,11,.364,.500,1,4,.250,4,4,8,8,1,2,5,2,18,13.9,0
25,1517,27,2024-12-19,LAL,@,SAC,W 113-100,*,34:05,8,21,.381,1,4,.250,7,17,.412,.405,2,2,1.000,0,6,6,7,0,1,2,1,19,12.5,13
26,1518,28,2024-12-21,LAL,@,SAC,W 103-99,*,34:25,13,24,.542,1,8,.125,12,16,.750,.563,5,6,.833,0,7,7,6,4,0,4,2,32,25.5,10
27,1519,29,2024-12-23,LAL,,DET,L 114-117,*,35:26,10,16,.625,2,4,.500,8,12,.667,.688,6,7,.857,2,9,11,11,0,0,2,1,28,29.8,-1
28,1520,30,2024-12-25,LAL,@,GSW,W 115-113,*,36:58,12,22,.545,2,4,.500,10,18,.556,.591,5,5,1.000,0,4,4,10,2,1,1,3,31,29.1,4
29,1521,32,2024-12-31,LAL,,CLE,L 110-122,*,34:12,9,17,.529,3,6,.500,6,11,.545,.618,2,2,1.000,0,4,4,7,0,1,2,1,23,19.1,-11
30,1522,33,2025-01-02,LAL,,POR,W 114-106,*,36:12,15,25,.600,7,10,.700,8,15,.533,.740,1,2,.500,1,2,3,8,0,0,4,1,38,28.6,4
31,1523,34,2025-01-03,LAL,,ATL,W 119-102,*,30:00,13,20,.650,2,5,.400,11,15,.733,.700,2,2,1.000,0,3,3,8,0,0,3,3,30,23.5,4
32,1524,35,2025-01-05,LAL,@,HOU,L 115-119,*,36:03,8,16,.500,4,7,.571,4,9,.444,.625,1,2,.500,1,12,13,9,1,0,2,4,21,20.6,-13
33,1525,36,2025-01-07,LAL,@,DAL,L 97-118,*,34:52,6,12,.500,1,4,.250,5,8,.625,.542,5,6,.833,0,10,10,8,1,0,2,0,18,19.2,-12
34,1526,37,2025-01-13,LAL,,SAS,L 102-126,*,32:06,7,11,.636,2,3,.667,5,8,.625,.727,2,4,.500,1,4,5,8,1,1,7,3,18,13.3,-15
35,1527,38,2025-01-15,LAL,,MIA,W 117-108,*,38:09,9,15,.600,3,6,.500,6,9,.667,.700,1,2,.500,1,4,5,9,2,0,2,0,22,22.9,14
36,1528,39,2025-01-17,LAL,,BRK,W 102-101,*,34:56,12,17,.706,4,6,.667,8,11,.727,.824,1,2,.500,1,6,7,8,1,2,5,2,29,26.2,-11
37,1529,40,2025-01-19,LAL,@,LAC,L 102-116,*,35:03,9,20,.450,2,6,.333,7,14,.500,.500,5,6,.833,2,3,5,11,3,1,5,3,25,21.7,-3
38,1530,41,2025-01-21,LAL,,WAS,W 111-88,*,35:39,8,18,.444,2,6,.333,6,12,.500,.500,3,3,1.000,0,10,10,13,2,1,5,0,21,21.4,19
39,1531,42,2025-01-23,LAL,,BOS,W 117-96,*,30:31,9,20,.450,0,2,.000,9,18,.500,.450,2,2,1.000,3,11,14,6,0,0,2,0,20,17.2,7
40,1532,43,2025-01-25,LAL,@,GSW,W 118-108,*,34:40,12,25,.480,0,1,.000,12,24,.500,.480,1,2,.500,1,4,5,12,1,0,3,0,25,20.2,11
41,1533,44,2025-01-27,LAL,@,CHO,W 112-107,*,36:25,9,17,.529,1,8,.125,8,9,.889,.559,3,5,.600,0,7,7,8,0,0,5,0,22,15.6,-1
42,1534,45,2025-01-28,LAL,@,PHI,L 104-118,*,32:39,10,16,.625,1,4,.250,9,12,.750,.656,10,11,.909,1,7,8,9,1,0,8,1,31,25.1,-11
43,1535,46,2025-01-30,LAL,@,WAS,W 134-96,*,26:34,9,19,.474,1,4,.250,8,15,.533,.500,5,5,1.000,0,3,3,11,0,0,0,1,24,22.5,29
44,1536,47,2025-02-01,LAL,@,NYK,W 128-112,*,36:49,14,26,.538,3,8,.375,11,18,.611,.596,2,4,.500,0,11,11,12,0,0,5,3,33,25.1,12
45,1537,48,2025-02-04,LAL,@,LAC,W 122-97,*,31:01,8,13,.615,2,4,.500,6,9,.667,.692,8,11,.727,0,8,8,9,3,0,3,4,26,26.0,19
46,1538,49,2025-02-06,LAL,,GSW,W 120-112,*,38:02,14,25,.560,6,9,.667,8,16,.500,.680,8,10,.800,1,16,17,8,1,1,3,1,42,38.7,7
47,1539,51,2025-02-10,LAL,,UTA,W 132-113,*,29:00,10,17,.588,3,7,.429,7,10,.700,.676,1,2,.500,1,6,7,8,1,0,7,2,24,17.0,24
48,1540,52,2025-02-12,LAL,@,UTA,L 119-131,*,33:40,6,13,.462,4,8,.500,2,5,.400,.615,2,4,.500,1,5,6,7,1,0,3,3,18,14.4,-10
49,1541,53,2025-02-19,LAL,,CHO,L 97-100,*,37:54,10,22,.455,4,11,.364,6,11,.545,.545,2,2,1.000,1,6,7,11,1,2,2,0,26,25.2,-4
50,1542,54,2025-02-20,LAL,@,POR,W 110-102,*,35:42,14,24,.583,4,8,.500,10,16,.625,.667,8,8,1.000,0,8,8,4,2,1,11,2,40,24.9,8
51,1543,55,2025-02-22,LAL,@,DEN,W 123-100,*,33:02,11,19,.579,1,4,.250,10,15,.667,.605,2,3,.667,2,7,9,5,1,3,1,2,25,24.0,9
52,1544,56,2025-02-25,LAL,,DAL,W 107-99,*,37:04,11,17,.647,2,4,.500,9,13,.692,.706,3,4,.750,3,9,12,3,1,0,6,2,27,20.2,-5
53,1545,57,2025-02-27,LAL,,MIN,W 111-102,*,37:26,11,21,.524,4,9,.444,7,12,.583,.619,7,10,.700,5,12,17,6,1,1,4,1,33,30.1,12
54,1546,58,2025-02-28,LAL,,LAC,W 106-102,*,37:17,12,21,.571,2,7,.286,10,14,.714,.619,2,3,.667,1,12,13,3,1,0,4,0,28,21.1,-1
55,1547,59,2025-03-02,LAL,,LAC,W 108-102,*,35:32,6,17,.353,1,6,.167,5,11,.455,.382,4,4,1.000,1,4,5,9,2,1,8,2,17,9.6,-5
56,1548,60,2025-03-04,LAL,,NOP,W 136-115,*,33:15,10,18,.556,5,10,.500,5,8,.625,.694,9,9,1.000,1,7,8,6,1,2,4,1,34,30.4,7
57,1549,61,2025-03-06,LAL,,NYK,W 113-109 (OT),*,43:53,11,23,.478,2,8,.250,9,15,.600,.522,7,8,.875,1,11,12,8,0,1,1,3,31,27.0,4
58,1550,62,2025-03-08,LAL,@,BOS,L 101-111,*,34:30,11,23,.478,0,6,.000,11,17,.647,.478,0,3,.000,2,12,14,9,0,0,1,3,22,18.2,-11
59,1551,70,2025-03-22,LAL,,CHI,L 115-146,*,31:25,7,16,.438,1,2,.500,6,14,.429,.469,2,5,.400,0,6,6,4,3,0,5,1,17,9.6,-27
60,1552,71,2025-03-24,LAL,@,ORL,L 106-118,*,37:40,9,18,.500,0,3,.000,9,15,.600,.500,6,7,.857,3,3,6,7,0,0,2,0,24,20.5,-17
61,1553,72,2025-03-26,LAL,@,IND,W 120-119,*,37:44,4,12,.333,0,3,.000,4,9,.444,.333,5,5,1.000,3,10,13,7,1,0,1,1,13,15.8,5
62,1554,73,2025-03-27,LAL,@,CHI,L 117-119,*,38:45,8,20,.400,0,5,.000,8,15,.533,.400,1,2,.500,1,4,5,12,2,0,4,1,17,13.7,-10
63,1555,74,2025-03-29,LAL,@,MEM,W 134-127,*,37:27,10,21,.476,2,5,.400,8,16,.500,.524,3,4,.750,1,5,6,8,3,1,3,3,25,21.2,-1
64,1556,75,2025-03-31,LAL,,HOU,W 104-98,*,37:40,5,12,.417,2,4,.500,3,8,.375,.500,4,4,1.000,0,8,8,4,2,2,3,1,16,14.8,9
65,1557,76,2025-04-03,LAL,,GSW,L 116-123,*,39:51,10,15,.667,5,8,.625,5,7,.714,.833,8,9,.889,1,4,5,9,1,1,4,2,33,31.2,-1
66,1558,77,2025-04-04,LAL,,NOP,W 124-108,*,32:39,9,17,.529,2,7,.286,7,10,.700,.588,7,8,.875,0,0,0,8,2,0,1,1,27,24.5,7
67,1559,78,2025-04-06,LAL,@,OKC,W 126-99,*,34:15,9,16,.563,1,1,1.000,8,15,.533,.594,0,0,,2,1,3,7,1,0,2,0,19,17.0,7
