Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,149,1,2024-10-23,ATL,,BRK,W 120-116,*,36:51,4,9,.444,0,3,.000,4,6,.667,.444,3,8,.375,1,9,10,4,3,1,6,3,11,7.0,-3
2,150,2,2024-10-25,ATL,,CHO,W 125-120,*,41:10,4,15,.267,1,4,.250,3,11,.273,.300,7,9,.778,2,5,7,3,2,2,2,5,16,10.7,12
3,151,3,2024-10-27,ATL,@,OKC,L 104-128,*,29:12,3,13,.231,1,3,.333,2,10,.200,.269,0,0,,1,8,9,2,0,1,4,5,7,-1.7,-21
4,152,4,2024-10-28,ATL,,WAS,L 119-121,*,38:48,11,17,.647,1,3,.333,10,14,.714,.676,6,7,.857,2,10,12,7,1,1,3,3,29,27.9,8
5,153,5,2024-10-30,ATL,@,WAS,L 120-133,*,40:21,9,21,.429,1,5,.200,8,16,.500,.452,2,5,.400,6,11,17,4,3,0,3,1,21,18.6,-12
6,154,6,2024-11-01,ATL,,SAC,L 115-123,*,36:00,4,10,.400,2,6,.333,2,4,.500,.500,4,6,.667,1,4,5,9,2,0,3,3,14,13.8,-2
7,155,7,2024-11-03,ATL,@,NOP,W 126-111,*,37:54,12,20,.600,0,4,.000,12,16,.750,.600,5,6,.833,2,7,9,8,2,2,4,2,29,27.1,32
8,156,8,2024-11-04,ATL,,BOS,L 93-123,*,30:35,7,20,.350,2,7,.286,5,13,.385,.400,4,5,.800,2,9,11,4,1,0,6,0,20,10.3,-34
9,157,9,2024-11-06,ATL,,NYK,W 121-116,*,39:15,10,18,.556,3,6,.500,7,12,.583,.639,0,0,,4,11,15,7,0,1,2,1,23,23.7,26
10,158,10,2024-11-08,ATL,@,DET,L 121-122,*,37:10,8,19,.421,2,6,.333,6,13,.462,.474,2,2,1.000,0,9,9,1,0,1,1,2,20,12.2,-12
11,159,11,2024-11-09,ATL,,CHI,L 113-125,*,34:07,6,11,.545,3,6,.500,3,5,.600,.682,5,6,.833,1,5,6,5,1,1,3,3,20,17.5,-11
12,160,12,2024-11-12,ATL,@,BOS,W 117-116,*,38:50,8,16,.500,2,4,.500,6,12,.500,.563,0,0,,2,10,12,10,3,1,3,4,18,20.5,4
13,161,13,2024-11-15,ATL,,WAS,W 129-117,*,34:52,8,15,.533,1,5,.200,7,10,.700,.567,1,1,1.000,2,11,13,7,0,4,3,3,18,18.9,7
14,162,14,2024-11-17,ATL,@,POR,L 110-114,*,37:13,10,14,.714,1,2,.500,9,12,.750,.750,4,4,1.000,0,4,4,4,2,1,7,0,25,18.9,14
15,163,16,2024-11-20,ATL,@,GSW,L 97-120,*,34:59,6,16,.375,3,5,.600,3,11,.273,.469,0,0,,3,11,14,4,2,0,1,0,15,15.4,-14
16,164,17,2024-11-22,ATL,@,CHI,L 122-136,*,36:45,10,19,.526,2,5,.400,8,14,.571,.579,3,4,.750,4,9,13,5,0,2,1,0,25,24.7,-21
17,165,18,2024-11-25,ATL,,DAL,L 119-129,*,37:00,12,20,.600,2,6,.333,10,14,.714,.650,2,2,1.000,0,11,11,3,3,1,3,0,28,24.9,3
18,166,19,2024-11-27,ATL,@,CLE,W 135-124,*,34:51,9,16,.563,2,4,.500,7,12,.583,.625,2,2,1.000,2,7,9,7,1,1,2,2,22,21.7,10
19,167,20,2024-11-29,ATL,,CLE,W 117-101,*,34:59,9,14,.643,2,4,.500,7,10,.700,.714,0,0,,0,9,9,7,1,0,3,2,20,18.6,17
20,168,21,2024-11-30,ATL,@,CHO,W 107-104,*,38:24,8,12,.667,4,6,.667,4,6,.667,.833,0,0,,0,3,3,9,0,3,4,2,20,19.3,15
21,169,22,2024-12-02,ATL,,NOP,W 124-112,*,31:41,9,14,.643,1,4,.250,8,10,.800,.679,0,0,,0,7,7,5,1,1,4,1,19,15.7,5
22,170,23,2024-12-04,ATL,@,MIL,W 119-104,*,40:11,10,19,.526,0,2,.000,10,17,.588,.526,3,3,1.000,3,10,13,5,2,1,3,1,23,21.6,2
23,171,24,2024-12-06,ATL,,LAL,W 134-132 (OT),*,34:40,4,8,.500,1,4,.250,3,4,.750,.563,3,4,.750,0,10,10,7,1,0,6,4,12,8.9,6
24,172,26,2024-12-11,ATL,@,NYK,W 108-100,*,41:11,8,20,.400,1,5,.200,7,15,.467,.425,4,6,.667,4,11,15,7,2,2,3,1,21,20.4,16
25,173,27,2024-12-14,ATL,@,MIL,L 102-110,*,39:07,6,15,.400,0,4,.000,6,11,.545,.400,3,5,.600,1,9,10,4,1,0,1,3,15,11.1,-11
26,174,28,2024-12-19,ATL,@,SAS,L 126-133 (OT),*,38:44,8,14,.571,1,1,1.000,7,13,.538,.607,5,6,.833,1,8,9,3,2,3,4,0,22,20.3,-1
27,175,29,2024-12-21,ATL,,MEM,L 112-128,*,33:01,4,12,.333,1,3,.333,3,9,.333,.375,4,5,.800,1,10,11,8,2,0,3,0,13,14.1,-16
28,176,30,2024-12-23,ATL,,MIN,W 117-104,*,35:00,8,14,.571,0,3,.000,8,11,.727,.571,1,1,1.000,2,9,11,7,2,0,1,2,17,19.6,5
29,177,31,2024-12-26,ATL,,CHI,W 141-133,*,39:03,11,16,.688,0,2,.000,11,14,.786,.688,8,9,.889,5,10,15,4,2,0,2,2,30,31.3,7
30,178,32,2024-12-28,ATL,,MIA,W 120-110,*,35:19,13,20,.650,2,3,.667,11,17,.647,.700,0,1,.000,4,9,13,5,0,2,0,4,28,27.6,18
31,179,33,2024-12-29,ATL,@,TOR,W 136-107,*,33:04,6,14,.429,1,5,.200,5,9,.556,.464,2,4,.500,0,4,4,3,6,1,3,3,15,12.6,37
