Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,843,1,2024-10-23,MIL,@,PHI,W 124-109,*,38:18,9,19,.474,6,12,.500,3,7,.429,.632,6,7,.857,3,6,9,6,0,0,3,1,30,24.6,19
2,844,2,2024-10-25,MIL,,CHI,L 122-133,*,35:47,11,21,.524,3,12,.250,8,9,.889,.595,3,3,1.000,0,4,4,8,0,0,5,1,28,19.1,-7
3,845,3,2024-10-27,MIL,@,BRK,L 102-115,*,32:04,5,13,.385,1,7,.143,4,6,.667,.423,10,11,.909,1,3,4,4,0,0,4,2,21,13.1,-9
4,846,4,2024-10-28,MIL,@,BOS,L 108-119,*,35:32,7,15,.467,2,8,.250,5,7,.714,.533,17,18,.944,1,6,7,7,2,1,1,2,33,33.2,-10
5,847,5,2024-10-31,MIL,@,MEM,L 99-122,*,33:21,1,12,.083,0,6,.000,1,6,.167,.083,2,2,1.000,1,1,2,6,1,0,1,3,4,0.0,-29
6,848,6,2024-11-02,MIL,,CLE,L 113-114,*,38:34,13,24,.542,10,15,.667,3,9,.333,.750,5,8,.625,0,4,4,9,0,1,1,4,41,33.8,3
7,849,7,2024-11-04,MIL,@,CLE,L 114-116,*,37:20,11,22,.500,5,9,.556,6,13,.462,.614,9,9,1.000,1,1,2,7,0,0,8,1,36,22.5,3
8,850,8,2024-11-07,MIL,,UTA,W 123-100,*,37:02,12,22,.545,4,11,.364,8,11,.727,.636,6,7,.857,0,4,4,7,4,0,0,2,34,32.3,27
9,851,9,2024-11-08,MIL,@,NYK,L 94-116,*,34:26,6,15,.400,0,4,.000,6,11,.545,.400,7,7,1.000,1,5,6,6,0,0,1,0,19,16.3,-28
10,852,10,2024-11-10,MIL,,BOS,L 107-113,*,35:47,4,15,.267,1,8,.125,3,7,.429,.300,5,5,1.000,0,4,4,6,3,0,3,3,14,9.3,-14
11,853,14,2024-11-18,MIL,,HOU,W 101-100,*,35:38,6,18,.333,0,6,.000,6,12,.500,.333,6,7,.857,0,4,4,10,0,0,2,1,18,13.2,-4
