Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,267,1,2024-10-23,PHI,,MIL,L 109-124,*,38:59,10,31,.323,2,9,.222,8,22,.364,.355,3,4,.750,0,6,6,3,1,1,1,1,25,11.1,-13
2,268,2,2024-10-25,PHI,@,TOR,L 107-115,*,40:54,6,23,.261,2,12,.167,4,11,.364,.304,10,12,.833,0,2,2,4,1,0,1,5,24,10.9,-1
3,269,3,2024-10-27,PHI,@,IND,W 118-114 (OT),*,47:47,14,32,.438,5,17,.294,9,15,.600,.516,12,15,.800,0,4,4,4,1,2,5,3,45,27.2,6
4,270,4,2024-10-30,PHI,,DET,L 95-105,*,40:04,12,25,.480,2,10,.200,10,15,.667,.520,6,7,.857,0,3,3,7,2,0,1,3,32,24.5,-11
5,271,5,2024-11-02,PHI,,MEM,L 107-124,*,37:28,8,19,.421,4,9,.444,4,10,.400,.526,3,3,1.000,0,2,2,6,3,0,3,2,23,16.9,-16
6,272,6,2024-11-04,PHI,@,PHO,L 116-118,*,40:56,12,22,.545,6,14,.429,6,8,.750,.682,2,3,.667,0,3,3,2,1,1,0,3,32,23.8,-9
7,273,7,2024-11-06,PHI,@,LAC,L 98-110,*,31:34,5,13,.385,1,6,.167,4,7,.571,.423,1,1,1.000,0,1,1,1,1,0,3,3,12,2.7,-16
8,274,14,2024-11-20,PHI,@,MEM,L 111-117,*,19:38,3,13,.231,0,6,.000,3,7,.429,.231,2,2,1.000,0,3,3,2,1,0,1,1,8,2.0,-8
9,275,15,2024-11-22,PHI,,BRK,W 113-98,*,26:30,11,17,.647,3,6,.500,8,11,.727,.735,1,1,1.000,1,3,4,5,4,0,0,2,26,26.8,19
10,276,16,2024-11-24,PHI,,LAC,L 99-125,*,29:52,5,13,.385,3,6,.500,2,7,.286,.500,4,4,1.000,0,4,4,4,2,0,1,2,17,14.1,-16
11,277,17,2024-11-27,PHI,,HOU,L 115-122 (OT),*,45:02,14,34,.412,6,12,.500,8,22,.364,.500,5,5,1.000,0,2,2,10,5,0,4,4,39,27.8,-5
12,278,18,2024-11-30,PHI,@,DET,W 111-96,*,35:13,11,24,.458,5,10,.500,6,14,.429,.563,1,2,.500,1,3,4,6,2,0,2,3,28,19.8,25
13,279,19,2024-12-03,PHI,@,CHO,W 110-104,*,36:42,5,16,.313,1,7,.143,4,9,.444,.344,10,11,.909,0,3,3,7,2,1,1,1,21,18.5,5
14,280,20,2024-12-04,PHI,,ORL,L 102-106,*,38:29,7,19,.368,0,7,.000,7,12,.583,.368,2,2,1.000,1,3,4,6,2,0,4,2,16,8.5,-5
15,281,21,2024-12-06,PHI,,ORL,W 102-94,*,35:18,5,17,.294,1,7,.143,4,10,.400,.324,5,7,.714,0,2,2,2,3,0,1,3,16,8.1,3
