Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,577,1,2024-10-24,SAC,,MIN,L 115-117,*,38:11,8,13,.615,3,4,.750,5,9,.556,.731,5,8,.625,1,7,8,1,2,1,4,4,24,17.5,-2
2,578,2,2024-10-26,SAC,@,LAL,L 127-131,*,36:45,10,14,.714,1,3,.333,9,11,.818,.750,8,9,.889,3,9,12,10,1,1,2,3,29,33.1,11
3,579,3,2024-10-28,SAC,,POR,W 111-98,*,35:52,5,8,.625,1,2,.500,4,6,.667,.688,5,6,.833,2,11,13,7,0,0,3,4,16,17.0,10
4,580,4,2024-10-29,SAC,@,UTA,W 113-96,*,34:00,13,18,.722,1,2,.500,12,16,.750,.750,1,2,.500,3,8,11,4,0,0,3,3,28,23.3,23
5,581,5,2024-11-01,SAC,@,ATL,W 123-115,*,33:11,5,11,.455,0,0,,5,11,.455,.455,5,5,1.000,3,11,14,6,0,0,3,6,15,13.5,5
6,582,6,2024-11-02,SAC,@,TOR,L 128-131 (OT),*,42:48,5,10,.500,0,1,.000,5,9,.556,.500,7,8,.875,7,13,20,10,1,0,3,5,17,23.4,2
7,583,7,2024-11-04,SAC,@,MIA,W 111-110,*,37:55,6,12,.500,2,4,.500,4,8,.500,.583,2,2,1.000,3,13,16,7,0,0,3,4,16,16.3,8
8,584,8,2024-11-06,SAC,,TOR,W 122-107,*,33:34,6,6,1.000,0,0,,6,6,1.000,1.000,5,5,1.000,4,7,11,13,1,0,0,0,17,30.2,16
9,585,9,2024-11-08,SAC,,LAC,L 98-107,*,37:33,9,12,.750,0,2,.000,9,10,.900,.750,5,6,.833,0,12,12,6,1,0,2,4,23,23.0,4
10,586,10,2024-11-10,SAC,@,PHO,W 127-118 (OT),*,38:49,9,14,.643,0,3,.000,9,11,.818,.643,2,3,.667,4,8,12,5,0,0,6,6,20,13.7,11
11,587,11,2024-11-11,SAC,@,SAS,L 96-116,*,36:05,11,19,.579,1,3,.333,10,16,.625,.605,0,0,,4,8,12,4,2,0,4,5,23,18.1,-9
12,588,12,2024-11-13,SAC,,PHO,W 127-104,*,29:41,3,4,.750,3,3,1.000,0,1,.000,1.125,2,2,1.000,1,9,10,9,0,1,7,2,11,12.0,8
13,589,13,2024-11-15,SAC,,MIN,L 126-130 (OT),*,39:39,10,15,.667,0,3,.000,10,12,.833,.667,3,3,1.000,2,10,12,4,0,3,4,1,23,21.4,-5
14,590,16,2024-11-22,SAC,@,LAC,L 88-104,*,40:21,9,17,.529,2,5,.400,7,12,.583,.588,4,4,1.000,2,13,15,4,1,1,6,3,24,18.3,-9
15,591,17,2024-11-24,SAC,,BRK,L 103-108,*,35:02,6,12,.500,1,3,.333,5,9,.556,.542,0,0,,4,14,18,7,1,0,4,4,13,14.3,-2
16,592,18,2024-11-25,SAC,,OKC,L 109-130,*,35:02,7,11,.636,1,2,.500,6,9,.667,.682,6,8,.750,2,8,10,3,3,1,4,5,21,18.9,-13
17,593,19,2024-11-27,SAC,@,MIN,W 115-104,*,33:52,10,17,.588,1,2,.500,9,15,.600,.618,6,7,.857,5,7,12,5,1,0,3,5,27,23.8,15
18,594,20,2024-11-29,SAC,@,POR,L 106-115,*,40:57,8,10,.800,2,3,.667,6,7,.857,.900,3,4,.750,2,12,14,11,1,1,5,2,21,25.4,-7
19,595,21,2024-12-01,SAC,,SAS,L 125-127,*,36:41,8,16,.500,2,4,.500,6,12,.500,.563,7,10,.700,10,3,13,6,0,0,2,5,25,23.9,1
20,596,22,2024-12-03,SAC,,HOU,W 120-111,*,31:43,13,19,.684,0,2,.000,13,17,.765,.684,1,4,.250,2,5,7,4,0,0,2,4,27,19.8,8
21,597,23,2024-12-05,SAC,@,MEM,L 110-115,*,35:57,7,11,.636,1,2,.500,6,9,.667,.682,2,2,1.000,4,9,13,6,0,0,3,3,17,17.6,-5
22,598,24,2024-12-06,SAC,@,SAS,W 140-113,*,32:32,7,12,.583,0,0,,7,12,.583,.583,8,9,.889,4,12,16,4,0,0,1,1,22,23.8,19
23,599,25,2024-12-08,SAC,,UTA,W 141-97,*,28:08,8,13,.615,2,3,.667,6,10,.600,.692,1,1,1.000,3,9,12,6,1,1,1,1,19,22.4,20
24,600,26,2024-12-12,SAC,@,NOP,W 111-109,*,34:17,11,15,.733,1,1,1.000,10,14,.714,.767,9,9,1.000,6,14,20,3,2,0,1,3,32,36.2,6
25,601,27,2024-12-16,SAC,,DEN,L 129-130,*,41:25,12,20,.600,1,3,.333,11,17,.647,.625,3,3,1.000,4,10,14,6,3,0,2,3,28,28.6,1
26,602,28,2024-12-19,SAC,,LAL,L 100-113,*,38:17,8,13,.615,1,1,1.000,7,12,.583,.654,1,4,.250,1,11,12,9,0,2,1,5,18,19.6,-16
27,603,29,2024-12-21,SAC,,LAL,L 99-103,*,37:00,9,19,.474,0,2,.000,9,17,.529,.474,1,3,.333,5,14,19,5,1,0,0,2,19,19.9,0
28,604,30,2024-12-22,SAC,,IND,L 95-122,*,31:17,8,22,.364,1,4,.250,7,18,.389,.386,0,2,.000,8,13,21,4,1,0,2,3,17,14.1,-26
29,605,32,2024-12-28,SAC,@,LAL,L 122-132,*,25:55,6,13,.462,2,3,.667,4,10,.400,.538,0,0,,4,8,12,7,0,0,1,6,14,14.0,-3
30,606,33,2024-12-30,SAC,,DAL,W 110-100,*,33:25,8,16,.500,0,1,.000,8,15,.533,.500,1,2,.500,7,9,16,7,1,0,2,3,17,18.9,-6
31,607,34,2025-01-01,SAC,,PHI,W 113-107,*,36:41,8,14,.571,0,0,,8,14,.571,.571,1,2,.500,9,12,21,7,0,0,7,3,17,16.6,13
32,608,35,2025-01-03,SAC,,MEM,W 138-133,*,38:06,6,11,.545,3,6,.500,3,5,.600,.682,2,2,1.000,3,7,10,6,0,2,1,5,17,18.5,6
