Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,574,1,2024-10-22,NYK,@,BOS,L 109-132,*,23:37,5,9,.556,1,2,.500,4,7,.571,.611,1,1,1.000,0,7,7,3,0,0,0,1,12,11.5,-18
2,575,2,2024-10-25,NYK,,IND,W 123-98,*,32:17,5,11,.455,2,2,1.000,3,9,.333,.545,9,10,.900,4,11,15,0,1,2,0,2,21,22.6,17
3,576,3,2024-10-28,NYK,,CLE,L 104-110,*,32:17,4,8,.500,1,2,.500,3,6,.500,.563,4,4,1.000,1,9,10,3,1,0,3,6,13,10.1,-1
4,577,4,2024-10-30,NYK,@,MIA,W 116-107,*,38:47,17,25,.680,4,5,.800,13,20,.650,.760,6,6,1.000,3,10,13,2,0,0,2,5,44,35.8,15
5,578,5,2024-11-01,NYK,@,DET,W 128-98,*,27:28,8,18,.444,3,6,.500,5,12,.417,.528,2,3,.667,3,8,11,7,2,1,1,1,21,21.9,28
6,579,6,2024-11-04,NYK,@,HOU,L 97-109,*,32:25,7,17,.412,0,2,.000,7,15,.467,.412,3,4,.750,9,10,19,0,0,1,3,4,17,12.9,-26
7,580,7,2024-11-06,NYK,@,ATL,L 116-121,*,38:01,11,23,.478,5,9,.556,6,14,.429,.587,7,7,1.000,5,11,16,1,1,3,3,2,34,29.1,-12
8,581,8,2024-11-08,NYK,,MIL,W 116-94,*,32:03,12,20,.600,4,8,.500,8,12,.667,.700,4,5,.800,3,8,11,5,0,0,2,4,32,26.8,24
9,582,9,2024-11-10,NYK,@,IND,L 121-132,*,38:52,11,19,.579,2,5,.400,9,14,.643,.632,6,8,.750,1,8,9,0,0,1,2,4,30,20.5,-13
10,583,10,2024-11-12,NYK,@,PHI,W 111-99,*,38:27,7,16,.438,2,6,.333,5,10,.500,.500,5,6,.833,3,10,13,6,1,1,2,3,21,20.0,11
11,584,11,2024-11-13,NYK,,CHI,L 123-124,*,39:04,18,30,.600,6,12,.500,12,18,.667,.700,4,8,.500,1,9,10,3,3,0,4,5,46,33.1,4
12,585,13,2024-11-17,NYK,,BRK,W 114-104,*,29:55,10,16,.625,1,3,.333,9,13,.692,.656,5,5,1.000,4,11,15,6,1,1,1,5,26,27.8,14
13,586,14,2024-11-18,NYK,,WAS,W 134-106,*,24:41,8,14,.571,3,4,.750,5,10,.500,.679,5,5,1.000,1,11,12,3,0,0,0,1,24,23.1,22
14,587,15,2024-11-20,NYK,@,PHO,W 138-122,*,34:09,12,19,.632,3,8,.375,9,11,.818,.711,7,8,.875,1,9,10,2,1,0,3,4,34,26.3,23
15,588,16,2024-11-23,NYK,@,UTA,L 106-121,*,38:45,6,19,.316,1,9,.111,5,10,.500,.342,3,3,1.000,8,8,16,5,0,1,2,2,16,14.5,-34
16,589,17,2024-11-25,NYK,@,DEN,W 145-118,*,33:53,12,15,.800,2,2,1.000,10,13,.769,.867,4,6,.667,1,14,15,4,3,0,4,4,30,28.6,21
17,590,18,2024-11-27,NYK,@,DAL,L 114-129,*,34:54,7,16,.438,2,4,.500,5,12,.417,.500,9,10,.900,1,13,14,4,0,1,1,4,25,21.7,-7
18,591,19,2024-11-29,NYK,@,CHO,W 99-98,*,39:29,8,16,.500,2,5,.400,6,11,.545,.563,1,1,1.000,4,8,12,5,1,2,6,4,19,14.5,5
19,592,20,2024-12-01,NYK,,NOP,W 118-85,*,24:34,4,12,.333,1,5,.200,3,7,.429,.375,5,5,1.000,3,16,19,2,1,1,2,1,14,14.8,17
20,593,21,2024-12-03,NYK,,ORL,W 121-106,*,35:43,8,18,.444,2,5,.400,6,13,.462,.500,5,5,1.000,2,13,15,0,0,2,5,4,23,13.7,25
21,594,22,2024-12-05,NYK,,CHO,W 125-101,*,39:25,9,15,.600,2,5,.400,7,10,.700,.667,7,9,.778,3,13,16,2,0,2,2,4,27,24.5,25
22,595,24,2024-12-09,NYK,@,TOR,W 113-108,*,35:48,7,13,.538,2,5,.400,5,8,.625,.615,8,10,.800,2,13,15,6,2,2,3,3,24,25.6,10
23,596,25,2024-12-11,NYK,,ATL,L 100-108,*,36:36,7,15,.467,2,6,.333,5,9,.556,.533,3,6,.500,4,15,19,5,3,3,4,6,19,19.6,-11
24,597,26,2024-12-15,NYK,@,ORL,W 100-91,*,43:17,7,15,.467,1,3,.333,6,12,.500,.500,7,7,1.000,4,18,22,5,0,1,6,4,22,19.1,9
25,598,27,2024-12-19,NYK,@,MIN,W 133-107,*,37:38,10,12,.833,5,5,1.000,5,7,.714,1.042,7,9,.778,3,17,20,6,2,0,4,2,32,35.4,31
26,599,28,2024-12-21,NYK,@,NOP,W 104-93,*,27:14,3,10,.300,2,5,.400,1,5,.200,.400,3,3,1.000,2,8,10,4,0,1,5,5,11,5.5,1
27,600,29,2024-12-23,NYK,,TOR,W 139-125,*,32:07,11,15,.733,1,3,.333,10,12,.833,.767,8,10,.800,3,7,10,7,1,0,1,6,31,30.8,17
28,601,30,2024-12-25,NYK,,SAS,W 117-114,*,29:33,9,16,.563,1,5,.200,8,11,.727,.594,2,2,1.000,2,7,9,2,0,0,1,5,21,15.3,-13
29,602,31,2024-12-27,NYK,@,ORL,W 108-85,*,32:35,6,10,.600,2,4,.500,4,6,.667,.700,2,4,.500,1,7,8,0,1,0,4,4,16,8.8,17
