Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,72,1,2024-10-24,SAS,@,DAL,L 109-120,*,28:28,5,18,.278,1,8,.125,4,10,.400,.306,6,6,1.000,2,7,9,1,0,1,4,1,17,6.9,-20
2,73,2,2024-10-26,SAS,,HOU,W 109-106,*,30:12,10,17,.588,2,5,.400,8,12,.667,.647,7,8,.875,1,6,7,1,0,3,3,3,29,21.8,0
3,74,3,2024-10-28,SAS,,HOU,L 101-106,*,35:13,6,14,.429,1,5,.200,5,9,.556,.464,1,2,.500,5,15,20,5,0,4,4,3,14,15.3,-7
4,75,4,2024-10-30,SAS,@,OKC,L 93-105,*,27:15,1,5,.200,0,3,.000,1,2,.500,.200,4,4,1.000,1,7,8,2,0,3,4,0,6,5.2,-4
5,76,5,2024-10-31,SAS,@,UTA,W 106-88,*,33:33,9,20,.450,4,13,.308,5,7,.714,.550,3,3,1.000,2,7,9,7,5,5,3,3,25,27.3,43
6,77,6,2024-11-02,SAS,,MIN,W 113-103,*,30:59,7,15,.467,1,7,.143,6,8,.750,.500,2,2,1.000,1,5,6,3,1,2,3,4,17,11.4,13
7,78,7,2024-11-04,SAS,@,LAC,L 104-113,*,34:06,9,22,.409,2,9,.222,7,13,.538,.455,4,4,1.000,2,11,13,3,3,9,2,3,24,25.1,-21
8,79,8,2024-11-06,SAS,@,HOU,L 100-127,*,24:41,6,14,.429,1,6,.167,5,8,.625,.464,2,2,1.000,1,5,6,0,1,3,4,0,15,8.9,-18
9,80,9,2024-11-07,SAS,,POR,W 118-105,*,32:21,4,13,.308,2,6,.333,2,7,.286,.385,2,3,.667,2,6,8,2,4,3,4,0,12,10.8,-7
10,81,10,2024-11-09,SAS,,UTA,L 110-111,*,32:41,8,15,.533,6,9,.667,2,6,.333,.733,2,2,1.000,3,13,16,0,0,7,6,3,24,20.4,4
11,82,11,2024-11-11,SAS,,SAC,W 116-96,*,34:02,13,22,.591,6,12,.500,7,10,.700,.727,2,2,1.000,4,10,14,6,1,3,3,1,34,33.5,24
12,83,12,2024-11-13,SAS,,WAS,W 139-130,*,32:27,18,29,.621,8,16,.500,10,13,.769,.759,6,9,.667,1,5,6,2,1,3,1,3,50,40.2,13
13,84,13,2024-11-15,SAS,,LAL,L 115-120,*,34:00,12,25,.480,4,13,.308,8,12,.667,.560,0,0,,5,9,14,5,1,2,5,2,28,21.6,-1
14,85,17,2024-11-23,SAS,,GSW,W 104-94,*,34:17,9,21,.429,4,13,.308,5,8,.625,.524,3,4,.750,0,7,7,9,1,3,4,3,25,19.8,16
15,86,18,2024-11-26,SAS,@,UTA,W 128-115,*,36:32,13,23,.565,6,14,.429,7,9,.778,.696,2,2,1.000,0,7,7,2,1,3,2,1,34,27.3,17
16,87,19,2024-11-27,SAS,,LAL,L 101-119,*,33:24,9,20,.450,2,9,.222,7,11,.636,.500,0,0,,3,7,10,2,2,3,4,1,20,14.9,-13
17,88,20,2024-12-01,SAS,@,SAC,W 127-125,*,36:35,11,17,.647,5,9,.556,6,8,.750,.794,7,9,.778,2,12,14,11,1,3,5,5,34,34.5,19
18,89,21,2024-12-03,SAS,@,PHO,L 93-104,*,34:17,6,18,.333,1,9,.111,5,9,.556,.361,2,2,1.000,3,10,13,7,1,1,4,3,15,11.3,-15
19,90,24,2024-12-08,SAS,,NOP,W 121-116,*,25:49,9,16,.563,3,7,.429,6,9,.667,.656,4,4,1.000,2,8,10,1,0,3,3,1,25,20.6,5
20,91,25,2024-12-13,SAS,@,POR,W 118-116,*,34:04,8,19,.421,2,6,.333,6,13,.462,.474,10,10,1.000,1,6,7,7,1,2,3,3,28,23.5,3
21,92,26,2024-12-15,SAS,,MIN,L 92-106,*,33:25,8,20,.400,1,7,.143,7,13,.538,.425,3,3,1.000,1,11,12,5,0,7,4,4,20,16.0,-8
22,93,27,2024-12-19,SAS,,ATL,W 133-126 (OT),*,37:13,13,24,.542,7,15,.467,6,9,.667,.688,9,12,.750,0,6,6,5,2,4,5,0,42,34.3,17
23,94,28,2024-12-21,SAS,,POR,W 114-94,*,29:45,8,16,.500,4,8,.500,4,8,.500,.625,10,11,.909,3,4,7,3,0,10,1,0,30,33.0,23
24,95,29,2024-12-23,SAS,@,PHI,L 106-111,*,36:30,9,19,.474,6,13,.462,3,6,.500,.632,2,2,1.000,1,8,9,4,0,8,5,2,26,22.0,-5
