Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,185,2,2024-10-25,NOP,@,POR,W 105-103,*,29:06,4,15,.267,0,1,.000,4,14,.286,.267,8,14,.571,3,8,11,7,1,3,1,3,16,15.0,7
2,186,3,2024-10-27,NOP,@,POR,L 103-125,*,28:02,3,12,.250,0,0,,3,12,.250,.250,8,10,.800,2,1,3,4,0,1,3,3,14,7.0,-5
3,187,4,2024-10-29,NOP,@,GSW,L 106-124,*,30:24,12,19,.632,1,2,.500,11,17,.647,.658,6,8,.750,2,6,8,3,0,1,7,3,31,19.5,-14
4,188,5,2024-10-30,NOP,@,GSW,L 89-104,*,32:44,5,20,.250,0,1,.000,5,19,.263,.250,2,7,.286,6,6,12,4,0,1,4,3,12,2.3,-16
5,189,6,2024-11-01,NOP,,IND,W 125-118,*,36:54,14,20,.700,1,2,.500,13,18,.722,.725,5,8,.625,1,5,6,10,2,0,3,3,34,31.4,17
6,190,9,2024-11-06,NOP,,CLE,L 122-131,*,29:12,9,18,.500,0,0,,9,18,.500,.500,11,13,.846,2,6,8,4,1,1,4,3,29,21.7,-3
7,191,37,2025-01-07,NOP,,MIN,L 97-104,*,27:40,9,15,.600,0,2,.000,9,13,.692,.600,4,9,.444,4,2,6,4,3,1,4,3,22,17.8,8
8,192,40,2025-01-12,NOP,@,BOS,L 119-120,*,28:07,5,15,.333,0,2,.000,5,13,.385,.333,6,7,.857,1,6,7,3,5,0,2,1,16,14.3,4
9,193,41,2025-01-14,NOP,@,CHI,W 119-113,*,23:53,10,14,.714,0,0,,10,14,.714,.714,1,4,.250,5,2,7,9,0,1,4,3,21,19.9,7
10,194,43,2025-01-17,NOP,,UTA,W 136-123,*,22:35,11,21,.524,0,0,,11,21,.524,.524,2,5,.400,8,6,14,6,0,3,2,4,24,22.6,5
11,195,46,2025-01-25,NOP,@,CHO,L 92-123,*,26:11,11,20,.550,0,0,,11,20,.550,.550,6,8,.750,3,8,11,2,1,1,4,4,28,19.6,-20
12,196,47,2025-01-27,NOP,@,TOR,L 104-113,*,27:28,13,18,.722,0,0,,13,18,.722,.722,5,8,.625,0,7,7,2,0,3,3,4,31,23.4,-11
13,197,48,2025-01-29,NOP,,DAL,L 136-137,*,28:14,11,18,.611,0,1,.000,11,17,.647,.611,7,9,.778,4,2,6,7,2,0,2,1,29,27.9,7
14,198,50,2025-02-03,NOP,@,DEN,L 113-125,*,28:21,5,13,.385,0,0,,5,13,.385,.385,4,6,.667,1,5,6,5,1,1,1,3,14,11.3,1
15,199,51,2025-02-05,NOP,@,DEN,L 119-144,*,26:47,11,19,.579,0,0,,11,19,.579,.579,6,9,.667,2,4,6,4,2,0,3,0,28,22.3,-5
16,200,52,2025-02-08,NOP,@,SAC,L 118-123,*,27:51,16,21,.762,0,0,,16,21,.762,.762,8,11,.727,1,3,4,4,2,0,3,4,40,32.3,4
17,201,53,2025-02-10,NOP,@,OKC,L 101-137,*,26:03,6,11,.545,0,0,,6,11,.545,.545,5,9,.556,1,1,2,5,1,0,5,5,17,8.6,-26
18,202,54,2025-02-12,NOP,,SAC,L 111-119,*,27:46,13,18,.722,1,1,1.000,12,17,.706,.750,6,9,.667,3,6,9,7,2,0,1,4,33,32.6,13
19,203,56,2025-02-21,NOP,@,DAL,L 103-111,*,27:22,11,15,.733,0,0,,11,15,.733,.733,7,11,.636,3,4,7,3,2,0,3,3,29,24.5,0
20,204,57,2025-02-23,NOP,,SAS,W 114-96,*,27:52,8,17,.471,0,0,,8,17,.471,.471,6,10,.600,2,7,9,3,2,2,1,1,22,19.3,23
21,205,58,2025-02-25,NOP,,SAS,W 109-103,*,29:16,8,15,.533,0,0,,8,15,.533,.533,2,3,.667,4,2,6,3,1,0,6,2,18,10.0,2
22,206,59,2025-02-27,NOP,@,PHO,W 124-116,*,31:03,13,17,.765,0,0,,13,17,.765,.765,1,4,.250,4,6,10,11,0,2,2,1,27,30.4,17
23,207,61,2025-03-02,NOP,@,UTA,W 128-121,*,29:25,11,18,.611,0,1,.000,11,17,.647,.611,2,3,.667,1,5,6,9,2,0,1,1,24,24.5,2
24,208,62,2025-03-04,NOP,@,LAL,L 115-136,*,26:10,17,23,.739,0,0,,17,23,.739,.739,3,6,.500,1,3,4,6,1,1,0,3,37,32.8,13
