Rk,Gcar,Gtm,Date,Team,,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
1,408,1,2024-10-23,ATL,,BRK,W 120-116,*,36:40,7,16,.438,2,6,.333,5,10,.500,.500,14,16,.875,1,4,5,12,1,1,3,1,30,29.4,12
2,409,2,2024-10-25,ATL,,CHO,W 125-120,*,41:28,11,24,.458,5,14,.357,6,10,.600,.563,11,13,.846,3,5,8,10,4,0,7,1,38,32.0,9
3,410,3,2024-10-27,ATL,@,OKC,L 104-128,*,37:03,7,14,.500,2,7,.286,5,7,.714,.571,8,8,1.000,0,1,1,8,0,0,10,3,24,11.7,-18
4,411,4,2024-10-28,ATL,,WAS,L 119-121,*,35:44,2,15,.133,2,10,.200,0,5,.000,.200,8,9,.889,0,8,8,13,1,1,6,3,14,9.9,-7
5,412,5,2024-10-30,ATL,@,WAS,L 120-133,*,40:22,12,28,.429,4,13,.308,8,15,.533,.500,7,7,1.000,2,2,4,15,2,0,3,2,35,30.9,-16
6,413,6,2024-11-01,ATL,,SAC,L 115-123,*,42:18,8,21,.381,3,9,.333,5,12,.417,.452,6,7,.857,1,4,5,12,0,0,5,2,25,17.6,-11
7,414,7,2024-11-03,ATL,@,NOP,W 126-111,*,31:21,8,15,.533,5,10,.500,3,5,.600,.700,2,2,1.000,1,3,4,12,1,0,2,1,23,24.3,29
8,415,8,2024-11-04,ATL,,BOS,L 93-123,*,23:15,1,10,.100,0,6,.000,1,4,.250,.100,0,0,,0,0,0,6,1,0,3,2,2,-3.2,-28
9,416,9,2024-11-06,ATL,,NYK,W 121-116,*,35:15,7,21,.333,3,9,.333,4,12,.333,.405,6,8,.750,2,4,6,10,2,0,2,2,23,19.1,6
10,417,10,2024-11-08,ATL,@,DET,L 121-122,*,41:00,11,25,.440,6,12,.500,5,13,.385,.560,7,8,.875,0,2,2,13,2,0,3,2,35,29.4,14
11,418,11,2024-11-09,ATL,,CHI,L 113-125,*,37:52,6,16,.375,2,6,.333,4,10,.400,.438,0,0,,1,2,3,16,0,0,6,2,14,10.9,-6
12,419,13,2024-11-15,ATL,,WAS,W 129-117,*,33:08,5,18,.278,4,9,.444,1,9,.111,.389,4,4,1.000,0,2,2,9,0,0,6,3,18,7.1,2
13,420,14,2024-11-17,ATL,@,POR,L 110-114,*,37:55,8,16,.500,5,10,.500,3,6,.500,.656,8,9,.889,1,4,5,8,0,0,6,2,29,21.3,-4
14,421,15,2024-11-18,ATL,@,SAC,W 109-108,*,35:43,1,7,.143,0,2,.000,1,5,.200,.143,5,5,1.000,0,3,3,19,2,0,5,1,7,13.3,15
15,422,16,2024-11-20,ATL,@,GSW,L 97-120,*,30:20,4,12,.333,1,6,.167,3,6,.500,.375,3,4,.750,0,3,3,11,2,0,3,2,12,11.6,-19
16,423,17,2024-11-22,ATL,@,CHI,L 122-136,*,37:31,8,18,.444,1,8,.125,7,10,.700,.472,8,8,1.000,0,1,1,13,4,1,4,2,25,24.9,-9
17,424,18,2024-11-25,ATL,,DAL,L 119-129,*,35:16,5,12,.417,2,4,.500,3,8,.375,.500,6,7,.857,1,1,2,16,3,0,3,2,18,22.6,-1
18,425,19,2024-11-27,ATL,@,CLE,W 135-124,*,36:57,6,18,.333,3,13,.231,3,5,.600,.417,5,5,1.000,0,4,4,22,0,0,5,3,20,20.2,5
19,426,20,2024-11-29,ATL,,CLE,W 117-101,*,34:41,7,12,.583,2,5,.400,5,7,.714,.667,5,5,1.000,0,3,3,11,0,0,7,4,21,15.4,10
20,427,21,2024-11-30,ATL,@,CHO,W 107-104,*,30:48,4,9,.444,2,6,.333,2,3,.667,.556,4,6,.667,0,4,4,5,1,0,6,2,14,7.4,-4
21,428,22,2024-12-02,ATL,,NOP,W 124-112,*,35:50,5,16,.313,2,9,.222,3,7,.429,.375,0,0,,1,7,8,15,1,0,5,3,12,10.9,20
22,429,23,2024-12-04,ATL,@,MIL,W 119-104,*,35:23,6,19,.316,0,9,.000,6,10,.600,.316,5,6,.833,0,4,4,7,0,0,4,3,17,6.6,8
23,430,24,2024-12-06,ATL,,LAL,W 134-132 (OT),*,42:05,9,25,.360,5,13,.385,4,12,.333,.460,8,8,1.000,0,4,4,20,2,0,3,1,31,30.9,-6
24,431,25,2024-12-08,ATL,,DEN,L 111-141,*,35:08,6,13,.462,2,7,.286,4,6,.667,.538,1,2,.500,1,3,4,10,3,0,4,1,15,15.1,-5
25,432,26,2024-12-11,ATL,@,NYK,W 108-100,*,36:24,8,22,.364,2,8,.250,6,14,.429,.409,4,4,1.000,0,5,5,11,1,0,3,1,22,16.6,6
26,433,27,2024-12-14,ATL,@,MIL,L 102-110,*,39:36,9,18,.500,3,5,.600,6,13,.462,.583,14,17,.824,2,5,7,10,0,1,5,4,35,28.8,-4
27,434,28,2024-12-19,ATL,@,SAS,L 126-133 (OT),*,36:39,7,16,.438,3,6,.500,4,10,.400,.531,6,8,.750,0,0,0,16,3,0,5,3,23,21.8,-7
28,435,30,2024-12-23,ATL,,MIN,W 117-104,*,31:18,8,15,.533,4,7,.571,4,8,.500,.667,9,12,.750,0,2,2,7,0,0,5,2,29,20.2,9
29,436,31,2024-12-26,ATL,,CHI,W 141-133,*,38:44,8,17,.471,4,11,.364,4,6,.667,.588,7,7,1.000,1,1,2,13,2,0,2,2,27,27.6,20
30,437,32,2024-12-28,ATL,,MIA,W 120-110,*,36:51,3,13,.231,2,9,.222,1,4,.250,.308,3,4,.750,0,1,1,15,1,0,3,0,11,11.5,17
31,438,33,2024-12-29,ATL,@,TOR,W 136-107,*,32:24,10,21,.476,7,13,.538,3,8,.375,.643,7,7,1.000,0,2,2,10,1,2,5,2,34,27.5,39
32,439,34,2025-01-01,ATL,@,DEN,L 120-139,*,30:16,8,17,.471,4,10,.400,4,7,.571,.588,10,12,.833,0,4,4,9,2,0,4,1,30,25.6,-25
33,440,35,2025-01-03,ATL,@,LAL,L 102-119,*,35:57,10,22,.455,3,9,.333,7,13,.538,.523,10,12,.833,0,0,0,9,1,0,3,1,33,24.7,-8
34,441,36,2025-01-04,ATL,@,LAC,L 105-131,*,33:50,7,16,.438,4,9,.444,3,7,.429,.563,2,3,.667,0,4,4,14,1,0,3,2,20,19.4,-7
35,442,37,2025-01-07,ATL,@,UTA,W 124-121,*,36:34,6,16,.375,3,10,.300,3,6,.500,.469,9,10,.900,0,2,2,20,0,1,2,1,24,27.7,4
36,443,38,2025-01-09,ATL,@,PHO,L 115-123,*,33:50,6,15,.400,1,4,.250,5,11,.455,.433,8,9,.889,0,2,2,7,1,0,3,0,21,16.0,-15
37,444,39,2025-01-14,ATL,,PHO,W 122-117,*,38:07,13,31,.419,6,12,.500,7,19,.368,.516,11,14,.786,2,1,3,5,3,0,6,2,43,26.7,10
